epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
15,2.789099248282468,2.0844476295471193,46.5,75.64,9.330127018922194e-05
16,2.7203639983166576,2.032883925628662,47.14,76.96,9.24024048078213e-05
17,2.6521396094554595,1.952276194190979,49.68,78.66,9.145187862775209e-05
18,2.5919481370036834,1.916535208415985,50.5,78.72,9.045084971874738e-05
19,2.533353013866953,1.8677608112335204,50.94,79.28,8.94005376803361e-05
20,2.53960869550946,1.79836145362854,53.62,81.28,8.83022221559489e-05
21,2.4907697153525357,1.7621976667404176,54.38,80.72,8.715724127386972e-05
22,2.4511812024940975,1.708770649242401,55.84,82.54,8.596699001693255e-05
23,2.4122553722682447,1.675634160900116,56.78,83.12,8.473291852294987e-05
24,2.376543264176896,1.6253602452278137,57.8,84.14,8.345653031794292e-05
25,2.3410734596339227,1.5965250668525697,58.72,84.14,8.213938048432697e-05
26,2.310325388599816,1.5579903460502624,59.44,84.64,8.07830737662829e-05
27,2.2801362468933553,1.5291199842453003,59.92,84.64,7.938926261462366e-05
