epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
17,1.6702249994644751,1.2536578046798705,56.71,94.61,9.822787092288991e-05
18,1.6404453931710659,1.2406818994522095,56.82,95.12,9.801468428384716e-05
19,1.619956470758487,1.215879250907898,58.48,95.46,9.778965073991651e-05
20,1.5985404702333303,1.195254460334778,58.65,95.23,9.755282581475769e-05
21,1.5759663422902426,1.158123295402527,60.4,95.54,9.730426794137727e-05
22,1.5547966388555674,1.13491621799469,61.28,96.1,9.704403844771128e-05
23,1.5458247600457606,1.1158703475952148,62.05,95.73,9.677220154149337e-05
24,1.5315183960474454,1.0991730403900146,62.47,96.04,9.648882429441257e-05
25,1.5173280556996664,1.074765393447876,64.02,96.37,9.619397662556435e-05
26,1.5118175732783783,1.0532782791137696,64.47,96.47,9.588773128419906e-05
27,1.4881297887899936,1.0507097330093385,64.69,96.33,9.557016383177227e-05
28,1.4862387424860246,1.0316170267105103,64.71,96.5,9.524135262330098e-05
29,1.458311741780012,1.022753444480896,65.01,96.64,9.490137878803079e-05
30,1.45203657241968,1.004080350112915,66.61,96.99,9.45503262094184e-05
31,1.4413732540913118,0.9743333911895752,66.7,96.91,9.418828150443469e-05
32,1.4258044383464716,0.9713383501052857,66.8,97.2,9.381533400219318e-05
33,1.4185690705592815,0.970061181640625,67.7,96.99,9.343157572190957e-05
34,1.4004092033092792,0.9366974098205566,68.5,97.04,9.30371013501972e-05
35,1.3893430874897883,0.9191602860450745,69.56,97.19,9.263200821770461e-05
36,1.3762972140923524,0.9100415920257569,69.57,97.39,9.221639627510076e-05
37,1.3671991461362594,0.9076448110580444,69.44,97.45,9.179036806841353e-05
38,1.3620410579901474,0.9070174256324768,69.95,97.62,9.135402871372808e-05
39,1.3490939097526746,0.8897159134864807,70.41,97.47,9.090748587125118e-05
40,1.3410752837474529,0.857457949256897,71.64,97.58,9.045084971874738e-05
41,1.3343940471991516,0.8656723321914673,71.54,97.61,8.998423292435454e-05
42,1.3201356490453084,0.8519334289550782,71.77,97.82,8.950775061878452e-05
43,1.3187514384587606,0.8395775751113892,72.26,97.88,8.90215203669165e-05
44,1.3065479327470828,0.8403430773735047,72.8,97.7,8.852566213878947e-05
45,1.2924570135581188,0.8263905495643615,73.15,97.75,8.802029828000156e-05
46,1.2910662305660736,0.814726938533783,73.31,97.91,8.750555348152298e-05
47,1.2790967125159043,0.8050165676116944,73.47,97.93,8.698155474893048e-05
48,1.2722279353019519,0.792812299156189,73.99,98.23,8.644843137107059e-05
49,1.267569728081043,0.7920027338981629,74.3,97.87,8.590631488815944e-05
50,1.258741517861684,0.7710385005950928,74.81,98.02,8.535533905932738e-05
51,1.24692055445451,0.7618644968986511,74.83,98.24,8.479563982961571e-05
52,1.2464711516331404,0.7675204336166381,74.99,98.13,8.422735529643444e-05
53,1.2373910531019554,0.7496104537010193,75.75,98.21,8.365062567548867e-05
54,1.2283153839600391,0.744806109046936,75.83,98.24,8.306559326618259e-05
55,1.2233862678209941,0.7548349021911621,75.72,98.17,8.247240241650919e-05
56,1.2195613582928975,0.7358871390342713,76.16,98.18,8.18711994874345e-05
57,1.2131359130908281,0.7290154948234558,76.23,98.22,8.126213281678528e-05
58,1.2007428710277264,0.7283182906150818,76.15,98.29,8.064535268264883e-05
59,1.2009842814543308,0.7200433606147766,77.01,98.35,8.002101126629421e-05
60,1.1944077445910528,0.7147276854515076,77.26,98.4,7.938926261462367e-05
61,1.1869711568722359,0.7211661739349365,76.87,98.21,7.875026260216393e-05
62,1.1870006342728934,0.7176961966514588,76.78,98.28,7.810416889260655e-05
63,1.1738544966929998,0.701547947883606,77.36,98.5,7.74511408999066e-05
64,1.1719781027390406,0.6942697792053223,77.46,98.4,7.679133974894983e-05
65,1.166002320784789,0.6949602007865906,77.94,98.43,7.612492823579745e-05
66,1.1616864662904005,0.7036342575073242,77.7,98.3,7.545207078751857e-05
67,1.1546559251271762,0.6937256038665771,78.18,98.33,7.477293342162039e-05
68,1.1484983085057674,0.6760061991691589,78.18,98.44,7.408768370508576e-05
69,1.1470369265629694,0.6829375783920288,78.81,98.54,7.339649071302867e-05
70,1.1425737093656492,0.6709154899597168,78.59,98.36,7.269952498697734e-05
71,1.1439130362791894,0.6842636311531067,78.75,98.54,7.199695849279575e-05
72,1.1320875050165715,0.680051750087738,78.72,98.55,7.128896457825364e-05
73,1.1346392093560635,0.6577263064384461,79.25,98.66,7.057571793025544e-05
74,1.1279126581473229,0.6589889328956604,79.03,98.59,6.985739453173903e-05
75,1.123080805173287,0.6628942846298218,79.2,98.35,6.91341716182545e-05
76,1.1196261033033714,0.6514037866592407,79.48,98.63,6.840622763423391e-05
77,1.1105604135073148,0.6613901743888855,79.45,98.62,6.767374218896286e-05
78,1.1046581227045793,0.6503963314056397,79.33,98.51,6.693689601226458e-05
79,1.1040865841584329,0.6454409155845642,79.51,98.74,6.619587090990748e-05
80,1.1025429025674478,0.6423117218971253,79.9,98.41,6.545084971874738e-05
81,1.0895245217359983,0.6534916315078735,79.62,98.53,6.47020162616152e-05
82,1.0935213811886617,0.6410461247444152,80.14,98.71,6.394955530196147e-05
83,1.0911754539379708,0.640265850353241,79.72,98.64,6.319365249826864e-05
84,1.0808262022641988,0.6393603547096253,80.31,98.56,6.243449435824273e-05
85,1.0830079734325408,0.6381083019256591,79.75,98.56,6.167226819279528e-05
86,1.0716606167646554,0.6387340488433838,79.91,98.46,6.090716206982714e-05
87,1.0721276532381008,0.6197903032302856,80.35,98.7,6.013936476782563e-05
88,1.0715332069458106,0.6250474484443664,80.7,98.64,5.9369065729286245e-05
89,1.0623031969253833,0.627753978061676,80.62,98.5,5.859645501397048e-05
90,1.0609631358048854,0.6245476593971252,80.56,98.63,5.782172325201155e-05
91,1.0655025767974364,0.6275101221084595,80.88,98.41,5.704506159687915e-05
92,1.0574029248494368,0.6235727470397949,80.8,98.52,5.626666167821523e-05
93,1.0525669996555036,0.6219024702072143,80.68,98.6,5.5486715554552274e-05
94,1.05037284218348,0.6124962242126465,80.85,98.64,5.4705415665925717e-05
95,1.0431554338870905,0.6190523146629333,80.62,98.68,5.392295478639225e-05
96,1.0429981844547467,0.6164488718986512,80.91,98.54,5.313952597646568e-05
97,1.0356112284538073,0.6114462272644043,80.77,98.68,5.235532253548213e-05
98,1.0377281728463295,0.6130250135421753,81.24,98.59,5.157053795390642e-05
99,1.0323755684571387,0.6073439231872558,81.5,98.56,5.078536586559104e-05
