epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.2258081436157227,1.9724355205535888,30.08,84.18,1e-05
1,2.1928034126758575,1.8473008100509642,33.79,86.59,1.9e-05
2,2.1866199672222137,1.8078360580444337,37.98,89.39,2.8000000000000003e-05
3,2.158623903989792,1.7185296588897705,38.65,89.95,3.7e-05
4,2.174841344356537,1.6740456882476806,43.26,90.22,4.6e-05
5,2.1046728640794754,1.6535425064086915,42.98,91.44,5.5e-05
6,2.1312032639980316,1.5793997730255127,46.83,92.07,6.4e-05
7,2.101096421480179,1.5499264278411866,46.27,92.61,7.3e-05
8,2.0756907910108566,1.495308198928833,50.84,94.18,8.2e-05
9,2.1131621301174164,1.391785705947876,53.01,94.43,9.1e-05
10,1.9913506507873535,1.3651887516021728,55.8,94.81,9.97534852915723e-05
11,2.0000834614038467,1.3367173244476318,55.46,94.38,9.970177445201784e-05
12,2.0353090465068817,1.323636894416809,59.05,95.78,9.964516155915151e-05
13,1.9538425505161285,1.2627862285614013,60.6,95.9,9.958365282121497e-05
14,1.937642753124237,1.2106700630187988,60.0,95.88,9.951725498333448e-05
15,1.9512770473957062,1.1643495985031127,62.94,96.61,9.94459753267812e-05
16,1.908749207854271,1.172328016090393,62.4,96.67,9.936982166817273e-05
17,1.8667779862880707,1.1156655767440795,64.37,96.74,9.928880235861588e-05
18,1.9610176384449005,1.1176927310943603,65.11,96.51,9.9202926282791e-05
19,1.9623312056064606,1.0608258966445923,65.66,97.47,9.911220285797748e-05
20,1.8962644338607788,1.012304939365387,67.74,96.65,9.901664203302126e-05
21,1.9149694293737411,1.0213448177337647,67.84,97.2,9.891625428724365e-05
22,1.8811140656471252,0.9513805082321167,70.21,97.82,9.881105062929222e-05
23,1.832145094871521,0.9730191266059875,70.61,98.15,9.870104259593363e-05
24,1.8286543935537338,0.9346397305488586,71.73,98.04,9.858624225078841e-05
25,1.8507144302129745,0.9414205325126648,71.34,98.07,9.846666218300807e-05
26,1.8267524987459183,0.9196795742034912,72.7,97.89,9.834231550589462e-05
27,1.8244239687919617,0.9123119092941284,72.82,97.81,9.821321585546244e-05
28,1.8669466376304626,0.901516431427002,72.83,97.96,9.807937738894302e-05
29,1.8265393823385239,0.8649076365470886,75.21,98.34,9.794081478323246e-05
30,1.9698434919118881,0.8194835927009583,75.52,98.43,9.779754323328192e-05
31,1.8298132717609406,0.8306208535194397,76.41,98.48,9.764957845043137e-05
32,1.8008161783218384,0.79995181722641,76.55,98.48,9.749693666068666e-05
33,1.7990650236606598,0.7762134934425354,76.51,98.45,9.733963460294015e-05
34,1.7119100689888,0.7767391361236572,77.74,98.49,9.717768952713513e-05
35,1.731804758310318,0.8012687327384949,77.42,98.3,9.701111919237408e-05
36,1.8272662609815598,0.7596433221817016,77.27,98.58,9.683994186497131e-05
37,1.8568601161241531,0.8041432285308838,78.06,98.48,9.666417631644977e-05
38,1.7602409571409225,0.727401921081543,78.47,98.68,9.648384182148252e-05
39,1.7691219002008438,0.7530404287338257,79.37,98.84,9.629895815577916e-05
40,1.7425101846456528,0.7516507794380188,79.59,98.81,9.610954559391703e-05
41,1.705201804637909,0.7178717943191528,79.29,98.5,9.59156249071181e-05
42,1.7091976404190063,0.7086932507514954,80.39,98.81,9.571721736097089e-05
43,1.826281487941742,0.6888194931030274,81.01,98.86,9.551434471309872e-05
44,1.7055190652608871,0.7033752639770507,80.73,98.84,9.530702921077358e-05
45,1.7514328211545944,0.7019037527084351,81.72,98.86,9.509529358847655e-05
46,1.8092118352651596,0.6750529035568237,80.03,98.83,9.487916106540466e-05
47,1.7748582810163498,0.6952673211097717,79.96,98.85,9.465865534292465e-05
48,1.6647880375385284,0.6385645806312561,81.48,99.06,9.443380060197386e-05
49,1.7492025196552277,0.6534891414642334,82.35,99.09,9.420462150040853e-05
50,1.6765138655900955,0.6763539785385132,82.07,99.03,9.397114317029974e-05
51,1.6924445033073425,0.6435000999450684,82.74,99.13,9.373339121517747e-05
52,1.6361344307661057,0.6401047060966492,82.85,99.19,9.34913917072228e-05
53,1.7732876688241959,0.6211118573188782,83.67,99.01,9.324517118440888e-05
54,1.731020838022232,0.632169830608368,83.69,99.02,9.299475664759068e-05
55,1.777618795633316,0.6110528280258178,83.56,99.21,9.274017555754408e-05
56,1.7167304009199142,0.5769027833938598,83.77,99.17,9.248145583195448e-05
57,1.8369997292757034,0.5886352266311645,84.42,99.27,9.221862584235528e-05
58,1.5792896449565887,0.6020795557022095,84.59,99.26,9.195171441101669e-05
59,1.787517100572586,0.6113882307052613,84.71,99.26,9.168075080778494e-05
60,1.7106605470180511,0.5961425561904907,84.41,99.33,9.140576474687264e-05
61,1.726763442158699,0.6167616562843323,84.61,99.27,9.112678638360016e-05
62,1.6852665096521378,0.5841323276519775,84.53,99.24,9.084384631108883e-05
63,1.557946264743805,0.5867548762798309,85.44,99.33,9.055697555690607e-05
64,1.6899418234825134,0.5653977776527405,85.35,99.32,9.02662055796628e-05
65,1.7050151824951172,0.5695243646621704,85.2,99.31,8.99715682655637e-05
66,1.6792242527008057,0.5787213190078735,85.68,99.32,8.967309592491052e-05
67,1.571499913930893,0.5812847288131714,85.74,99.4,8.937082128855891e-05
68,1.6669959127902985,0.5907041501045227,85.65,99.35,8.906477750432904e-05
69,1.6788070499897003,0.5492950406074524,86.04,99.34,8.875499813337069e-05
70,1.4768086373806,0.5393758662223815,86.45,99.36,8.844151714648276e-05
71,1.68753120303154,0.5335667369842529,86.46,99.43,8.812436892038805e-05
72,1.6387750655412674,0.558136974477768,85.31,99.21,8.780358823396352e-05
73,1.6594454050064087,0.5603691899299622,86.55,99.36,8.74792102644263e-05
74,1.6885078847408295,0.5251810474395752,86.76,99.41,8.715127058347615e-05
75,1.7316298484802246,0.5224546035766602,86.33,99.38,8.681980515339464e-05
76,1.771550253033638,0.5118651783943177,86.65,99.56,8.648485032310146e-05
77,1.605945959687233,0.5128240053653716,87.16,99.53,8.614644282416831e-05
