epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.142084824138353,1.8500501560211182,34.88,85.68,1e-05
1,2.089453623633684,1.7521652786254882,39.77,88.04,1.9e-05
2,2.052106030161341,1.6568400060653687,43.74,90.5,2.8000000000000003e-05
3,2.020981615087287,1.6036729921340942,44.41,91.52,3.7e-05
4,1.9992399658344773,1.5401736808776856,45.86,92.36,4.6e-05
5,1.9721154438548754,1.5040533447265625,47.86,92.44,5.5e-05
6,1.9549412974627467,1.454130880355835,49.3,93.34,6.4e-05
7,1.9366198193553774,1.4087042867660522,53.1,94.17,7.3e-05
8,1.9299927672106538,1.35535393409729,53.92,94.16,8.2e-05
9,1.9030722202625836,1.3345528903961181,55.92,95.26,9.1e-05
10,1.892541123718672,1.3153417724609375,55.93,95.01,9.97534852915723e-05
11,1.877229813424329,1.2671873193740846,58.13,95.46,9.970177445201784e-05
12,1.856327828463458,1.1870475311279296,60.76,95.92,9.964516155915151e-05
13,1.8367265113337246,1.1761856882095336,61.82,95.81,9.958365282121497e-05
14,1.8196104896205947,1.1799877555847167,62.65,96.73,9.951725498333448e-05
15,1.812242054145559,1.1316703595161437,63.05,96.18,9.94459753267812e-05
16,1.788328836883076,1.0454360662460327,66.58,96.99,9.936982166817273e-05
17,1.7925289957837778,1.047724653339386,65.75,96.7,9.928880235861588e-05
18,1.7760026915888476,1.0339277440071106,67.95,97.11,9.9202926282791e-05
19,1.7515333094151164,0.9918292408943177,68.64,97.08,9.911220285797748e-05
20,1.7530975204423813,0.9841493942260742,70.37,97.39,9.901664203302126e-05
21,1.728875118242183,0.92689890832901,71.13,97.51,9.891625428724365e-05
22,1.7348370663487804,0.9346824760437011,71.8,97.65,9.881105062929222e-05
23,1.7180706029054298,0.9088563863754272,72.81,97.9,9.870104259593363e-05
24,1.696387315071194,0.9200783654212952,72.44,97.25,9.858624225078841e-05
25,1.7025135683799675,0.8705660593032837,73.88,97.58,9.846666218300807e-05
26,1.6770600900149375,0.8572856608390809,74.32,98.07,9.834231550589462e-05
27,1.678069286248748,0.8482098135948181,75.3,98.15,9.821321585546244e-05
28,1.6636117293801107,0.8154960144996644,76.26,98.27,9.807937738894302e-05
29,1.6685963945413216,0.8504563236236572,76.43,98.04,9.794081478323246e-05
30,1.6567992292506746,0.7996456212043762,76.76,98.44,9.779754323328192e-05
31,1.6547060409672891,0.780480089187622,77.2,98.24,9.764957845043137e-05
32,1.6387013856335884,0.8066645668029785,76.74,98.26,9.749693666068666e-05
33,1.6309543018457069,0.7773056015014649,77.08,98.39,9.733963460294015e-05
34,1.6389492493738134,0.7590275409698486,78.17,98.33,9.717768952713513e-05
35,1.6286062266243557,0.7892649768829346,78.86,98.55,9.701111919237408e-05
36,1.6210910085679322,0.747953656578064,78.48,98.42,9.683994186497131e-05
37,1.625585305706029,0.7261421785354615,79.32,98.72,9.666417631644977e-05
38,1.595679568114873,0.7072640165328979,79.53,98.62,9.648384182148252e-05
39,1.6141665901478366,0.7119058557510376,80.48,98.75,9.629895815577916e-05
40,1.5998905668185401,0.6990502634048462,80.84,98.72,9.610954559391703e-05
41,1.600837873130388,0.6625714554786682,80.8,98.82,9.59156249071181e-05
42,1.5988790872918202,0.6841598780632019,80.19,98.75,9.571721736097089e-05
43,1.5936218591719369,0.6849873212814331,81.55,98.91,9.551434471309872e-05
44,1.5778754516081377,0.6832351505279541,81.75,98.88,9.530702921077358e-05
45,1.5580606407911615,0.6797302568435669,82.11,98.98,9.509529358847655e-05
46,1.5600436655721042,0.6591890350341797,82.36,99.08,9.487916106540466e-05
47,1.5877848200395073,0.6718383238792419,82.18,98.98,9.465865534292465e-05
48,1.5723481748381893,0.6494237083435058,82.07,99.12,9.443380060197386e-05
49,1.5658465281186122,0.6565575150489807,81.75,99.19,9.420462150040853e-05
50,1.5535556784665234,0.6430945083618164,83.03,98.92,9.397114317029974e-05
51,1.5557957305340395,0.649969675731659,82.78,99.16,9.373339121517747e-05
52,1.5588867436908425,0.6222801761627197,82.87,99.17,9.34913917072228e-05
53,1.5657728277766902,0.6706380454063415,82.73,98.96,9.324517118440888e-05
54,1.5467209528258758,0.6322774249076843,83.43,99.11,9.299475664759068e-05
55,1.543932611139422,0.6348296937942505,83.53,99.13,9.274017555754408e-05
56,1.5621479986266504,0.6007554783821106,84.74,99.23,9.248145583195448e-05
57,1.5273787130466954,0.5965131448745727,84.16,99.29,9.221862584235528e-05
58,1.5309842470055506,0.6027196412086486,83.87,99.2,9.195171441101669e-05
59,1.5308400281870715,0.6096917906761169,84.74,99.21,9.168075080778494e-05
60,1.5180665156142201,0.5881466662406921,84.43,99.27,9.140576474687264e-05
61,1.5150928983462453,0.6002402837753296,85.27,99.33,9.112678638360016e-05
62,1.5364933502353566,0.5959504628181458,83.82,99.23,9.084384631108883e-05
63,1.531425533084039,0.5756053039550781,84.94,99.18,9.055697555690607e-05
64,1.5133446917491136,0.5493695291519165,85.95,99.36,9.02662055796628e-05
65,1.511010908439431,0.5878521450996399,85.69,99.38,8.99715682655637e-05
66,1.5007573962211609,0.6018596824645996,84.96,99.25,8.967309592491052e-05
67,1.5263128637809606,0.5739434778690338,85.85,99.28,8.937082128855891e-05
68,1.4909513777410481,0.5607807814121246,85.97,99.31,8.906477750432904e-05
69,1.4907023984552499,0.5566285913467407,85.48,99.37,8.875499813337069e-05
70,1.4805196320659526,0.5275590427398682,86.08,99.33,8.844151714648276e-05
71,1.5050709759685355,0.5657376210212708,86.05,99.27,8.812436892038805e-05
72,1.4982544927071975,0.5405446233749389,86.42,99.4,8.780358823396352e-05
73,1.4626733037176878,0.5288070600509643,86.63,99.29,8.74792102644263e-05
74,1.4760041919163644,0.5315797352790832,85.81,99.21,8.715127058347615e-05
75,1.4906501207553164,0.530365441417694,86.65,99.4,8.681980515339464e-05
76,1.4852022527885194,0.5364181839942932,86.89,99.36,8.648485032310146e-05
77,1.4796236281053052,0.5017963037014007,87.09,99.41,8.614644282416831e-05
78,1.473576272571896,0.5420643631935119,87.29,99.39,8.5804619766791e-05
79,1.4921952770705718,0.5671733643531799,86.77,99.4,8.545941863571974e-05
80,1.4722244088536798,0.5022749940395356,87.31,99.5,8.511087728614862e-05
81,1.4633033649564247,0.4954358284473419,87.45,99.44,8.475903393956434e-05
82,1.4516428688424192,0.5378562008380889,87.18,99.38,8.440392717955476e-05
83,1.4408635889369608,0.46966859254837034,87.62,99.42,8.404559594757778e-05
84,1.4641209418733965,0.5245485121250153,87.06,99.5,8.368407953869104e-05
85,1.4749830156068644,0.523471968793869,87.41,99.37,8.33194175972427e-05
86,1.4571389143811908,0.5040945152282715,87.73,99.41,8.295165011252398e-05
87,1.4569067822986315,0.508292069196701,87.38,99.45,8.258081741438395e-05
88,1.4778132231073708,0.5429484276294708,87.63,99.31,8.220696016880688e-05
89,1.4643868928376904,0.5245968936920166,87.3,99.35,8.183011937345271e-05
90,1.466416792359761,0.4957879541873932,88.02,99.54,8.14503363531613e-05
91,1.4525946102435396,0.4778620827674866,87.62,99.41,8.106765275542055e-05
92,1.4569154163481484,0.537872509098053,88.06,99.49,8.068211054579944e-05
93,1.4689535681783161,0.4997766417503357,88.08,99.53,8.029375200334589e-05
94,1.4543750104464581,0.5221612975597382,88.08,99.49,7.99026197159505e-05
95,1.45304829462237,0.4824089554786682,87.82,99.46,7.950875657567621e-05
96,1.4391628085574786,0.4943737258434296,88.23,99.52,7.911220577405484e-05
97,1.4364372956615403,0.4898134015083313,88.44,99.46,7.87130107973505e-05
98,1.4307755158591666,0.4652526423931122,88.53,99.53,7.831121542179087e-05
99,1.456827616340525,0.4979636898040771,89.15,99.57,7.790686370876671e-05
100,1.4223053312637437,0.4833458492279053,88.61,99.5,7.75e-05
101,1.4415075782013915,0.5065595164775848,88.84,99.46,7.709066891268134e-05
102,1.4086541463257256,0.5284175360679626,88.06,99.47,7.667891533457719e-05
103,1.4296812966141597,0.47559830965995786,88.08,99.46,7.626478441910744e-05
104,1.44915372133255,0.5110490643024445,88.49,99.58,7.584832158039378e-05
105,1.43315720909231,0.4705063750743866,89.02,99.54,7.542957248827961e-05
106,1.409315612725198,0.4637198321819305,89.01,99.41,7.500858306332174e-05
107,1.4221956070498223,0.4867968006134033,88.56,99.51,7.458539947175475e-05
