epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.1737003250097646,1.936723598098755,30.89,83.24,1e-05
1,2.102369976715303,1.817256212234497,36.87,87.2,1.9e-05
2,2.070705618656857,1.746631481742859,37.96,87.99,2.8000000000000003e-05
3,2.042107990090276,1.6948244525909424,41.18,89.3,3.7e-05
4,2.0179621713872757,1.6178252017974855,43.96,91.19,4.6e-05
5,2.0041430037702397,1.5945270431518554,46.31,91.81,5.5e-05
6,1.990986645145392,1.57779146194458,46.91,91.87,6.4e-05
7,1.9696178602653338,1.5151586601257325,49.1,92.84,7.3e-05
8,1.9512280947725538,1.4889496311187744,49.94,93.27,8.2e-05
9,1.9500959075214614,1.4213731496810913,52.43,93.73,9.1e-05
10,1.9225593072656786,1.401873217010498,53.52,93.95,9.97534852915723e-05
11,1.9107844603656958,1.3692775693893433,54.2,94.22,9.970177445201784e-05
12,1.8985989192994395,1.33611304397583,54.91,94.35,9.964516155915151e-05
13,1.8802463446628117,1.307075450706482,56.03,95.21,9.958365282121497e-05
14,1.8711851920727425,1.278522853088379,58.2,95.34,9.951725498333448e-05
15,1.867591016729113,1.29444614944458,58.28,95.5,9.94459753267812e-05
16,1.8478163241118994,1.250183795928955,59.22,95.39,9.936982166817273e-05
17,1.8461925821634018,1.2411609350204469,60.44,95.59,9.928880235861588e-05
18,1.833475491606777,1.194836315727234,61.83,96.0,9.9202926282791e-05
19,1.8225681096429862,1.1786952638626098,62.05,95.91,9.911220285797748e-05
20,1.808811551935389,1.159936301612854,63.41,96.35,9.901664203302126e-05
21,1.8139033473255386,1.1483490873336792,63.1,96.37,9.891625428724365e-05
22,1.803048265728236,1.1280128160476686,63.34,96.56,9.881105062929222e-05
23,1.803194970541208,1.1181083465576171,64.15,96.46,9.870104259593363e-05
24,1.802666399909348,1.1231916606903076,64.84,96.53,9.858624225078841e-05
25,1.790392307710098,1.1028192600250244,65.5,96.77,9.846666218300807e-05
26,1.7912475374382986,1.070059732246399,66.08,96.82,9.834231550589462e-05
27,1.7626121474594527,1.0622453323364258,66.14,96.69,9.821321585546244e-05
28,1.7508660878475741,1.057996716785431,66.66,96.66,9.807937738894302e-05
29,1.7566422475895411,1.0270791284561158,67.12,97.01,9.794081478323246e-05
30,1.762443217058951,1.0276582173347473,68.84,97.06,9.779754323328192e-05
31,1.7422737478446717,1.0045075654029847,68.76,97.1,9.764957845043137e-05
32,1.7337914731224735,1.0067434569358826,69.53,97.34,9.749693666068666e-05
33,1.744851819073803,1.0136086395263673,69.46,97.12,9.733963460294015e-05
34,1.7219364092078313,0.9546018692970276,70.84,97.85,9.717768952713513e-05
35,1.7197091240583706,0.9550246726989746,71.27,97.53,9.701111919237408e-05
36,1.7336952513830304,0.9624243136405944,70.94,97.65,9.683994186497131e-05
37,1.6955033504092891,0.9321333389282227,71.33,97.82,9.666417631644977e-05
38,1.7160696972652831,0.933970158290863,72.41,97.65,9.648384182148252e-05
39,1.7036292380468487,0.9316408051490783,72.5,97.7,9.629895815577916e-05
40,1.7130153482915802,0.9531333215713501,72.05,97.67,9.610954559391703e-05
41,1.7214291823810866,0.9308833294868469,72.2,97.83,9.59156249071181e-05
42,1.7032347949610478,0.9030689518928527,73.0,97.88,9.571721736097089e-05
43,1.7054031136399195,0.8879992871284484,73.19,97.86,9.551434471309872e-05
44,1.7002348892209471,0.8895875916481019,73.59,97.69,9.530702921077358e-05
45,1.6944390949000165,0.9066467779159546,73.13,97.93,9.509529358847655e-05
46,1.686554540592638,0.8652303894042969,73.88,97.97,9.487916106540466e-05
47,1.681618648362984,0.8851190834999084,74.24,97.98,9.465865534292465e-05
48,1.683365980427946,0.8858317763328553,74.55,97.92,9.443380060197386e-05
49,1.6683071691461775,0.8603932250976563,74.42,97.97,9.420462150040853e-05
50,1.6796101279814326,0.8537759794235229,75.05,98.13,9.397114317029974e-05
51,1.683042139005722,0.859931770324707,75.17,98.08,9.373339121517747e-05
52,1.681865765709578,0.8608931616783142,75.12,98.22,9.34913917072228e-05
53,1.6576411006697924,0.8314993475914001,75.37,98.23,9.324517118440888e-05
54,1.6535183946851273,0.8240200745582581,75.19,98.28,9.299475664759068e-05
55,1.6624924928980203,0.8417122563362122,75.57,98.27,9.274017555754408e-05
56,1.6559194459194715,0.8132963255882263,76.79,98.41,9.248145583195448e-05
57,1.6599305423975907,0.838881129360199,75.48,98.13,9.221862584235528e-05
58,1.667097413890951,0.8267119530677796,75.98,98.2,9.195171441101669e-05
59,1.633590836531069,0.8090961287498474,76.32,98.29,9.168075080778494e-05
60,1.6470296095946992,0.7981661590576172,76.56,98.36,9.140576474687264e-05
61,1.6208600630070276,0.79150077085495,77.51,98.3,9.112678638360016e-05
62,1.6515864321578022,0.7990370022773743,77.3,98.6,9.084384631108883e-05
63,1.6390642289468176,0.7868721074104309,77.3,98.68,9.055697555690607e-05
64,1.636402798523213,0.7968842284202575,77.6,98.47,9.02662055796628e-05
65,1.639718550268117,0.7737373280525207,77.69,98.62,8.99715682655637e-05
66,1.6294313501304305,0.7885181248664856,77.63,98.48,8.967309592491052e-05
67,1.632925879482118,0.7791348348617554,77.33,98.59,8.937082128855891e-05
68,1.6447844282460427,0.8002357934951783,77.2,98.58,8.906477750432904e-05
69,1.6474022263906676,0.7753779713630676,77.3,98.47,8.875499813337069e-05
70,1.6389225669462764,0.7585355869293213,78.64,98.67,8.844151714648276e-05
71,1.6050315106266133,0.7733037285804748,78.37,98.62,8.812436892038805e-05
72,1.6028666874815958,0.7495772389411927,78.61,98.68,8.780358823396352e-05
73,1.6108395538928415,0.7576691654205322,78.32,98.62,8.74792102644263e-05
74,1.6200431489913931,0.7373152441978454,78.92,98.56,8.715127058347615e-05
75,1.6184143698017057,0.7402940631866455,79.24,98.77,8.681980515339464e-05
76,1.6257824787867665,0.7529503903388977,78.94,98.53,8.648485032310146e-05
77,1.6179445507279127,0.7502036924362183,78.84,98.72,8.614644282416831e-05
78,1.6026470508526596,0.748351715183258,78.65,98.85,8.5804619766791e-05
79,1.604041343003931,0.7358817527770997,79.11,98.72,8.545941863571974e-05
80,1.6241485347515794,0.7425749218940735,78.76,98.81,8.511087728614862e-05
81,1.6103610055242092,0.7315810244560241,79.63,98.71,8.475903393956434e-05
82,1.6041467060047594,0.7162521098613739,80.05,98.85,8.440392717955476e-05
83,1.5948253372414622,0.7522763573646546,79.58,98.7,8.404559594757778e-05
84,1.6156599492635983,0.7010375407218933,80.01,98.95,8.368407953869104e-05
85,1.6080969921605381,0.7408479266166687,79.99,98.94,8.33194175972427e-05
86,1.5986755625386548,0.7250966011047363,80.12,98.76,8.295165011252398e-05
87,1.6095852798444819,0.7171854330062866,80.12,98.77,8.258081741438395e-05
88,1.5927138194995103,0.696172694683075,79.63,98.76,8.220696016880688e-05
89,1.6009501602677163,0.6879579602241516,80.6,98.86,8.183011937345271e-05
90,1.5619256134680384,0.7007801504135132,80.42,98.84,8.14503363531613e-05
91,1.5937492881022708,0.6955445513725281,80.56,98.93,8.106765275542055e-05
92,1.6019780098552434,0.6923569923400879,80.72,98.85,8.068211054579944e-05
93,1.6027611915341717,0.7134285592079163,81.16,98.85,8.029375200334589e-05
94,1.582498813331814,0.7229851483345032,79.91,98.86,7.99026197159505e-05
95,1.5970402702631932,0.6784048844337464,81.08,98.93,7.950875657567621e-05
96,1.5723170403787023,0.6949164649009705,80.9,98.92,7.911220577405484e-05
97,1.5879497317437479,0.6970908902645111,81.04,98.85,7.87130107973505e-05
98,1.5708703716188936,0.6837517055511475,81.35,99.09,7.831121542179087e-05
99,1.5969612040531926,0.6746778098106384,81.36,98.95,7.790686370876671e-05
100,1.5846941676396262,0.6758039256095886,81.56,98.97,7.75e-05
101,1.5773514639705457,0.6797988706588746,81.2,99.01,7.709066891268134e-05
102,1.5809027454917166,0.68432213306427,80.86,98.94,7.667891533457719e-05
103,1.5604194301191274,0.6681346607208252,81.58,99.03,7.626478441910744e-05
104,1.5582903239699546,0.6674699961662293,81.21,98.92,7.584832158039378e-05
105,1.5740168569335253,0.6689452014923095,82.16,99.05,7.542957248827961e-05
106,1.5795524918620931,0.6860074277877808,82.15,99.07,7.500858306332174e-05
107,1.5721122239371725,0.6645396047115326,82.22,99.06,7.458539947175475e-05
108,1.5697080670795123,0.6704133703231812,81.43,98.98,7.416006812042828e-05
109,1.5553426103768977,0.6499735204696655,82.09,98.96,7.373263565171806e-05
110,1.5703499360670659,0.6566216786384582,82.46,99.15,7.330314893841101e-05
111,1.5833427774005602,0.6579101817131042,81.71,98.91,7.287165507856512e-05
112,1.567539046805891,0.6641192934036255,82.17,98.89,7.243820139034464e-05
113,1.5656081258716412,0.6464074768066407,82.41,99.18,7.200283540683103e-05
114,1.570369677568062,0.6641671667099,82.73,99.13,7.156560487081051e-05
115,1.5499253779764213,0.6579602262496949,81.5,99.08,7.11265577295385e-05
116,1.5400122536892469,0.6479078275680542,82.35,99.1,7.068574212948169e-05
117,1.5618981007729846,0.6541155014991761,82.49,98.97,7.024320641103812e-05
118,1.56113198388096,0.6637435404777526,82.16,98.9,6.979899910323626e-05
119,1.542757020411815,0.6600405814170838,82.23,99.15,6.935316891841316e-05
120,1.5642219506366304,0.6516060183048248,82.47,98.91,6.890576474687264e-05
121,1.5403334325925946,0.644997219467163,82.49,98.98,6.845683565152391e-05
122,1.5555884716758044,0.6475123282909393,82.45,99.04,6.800643086250122e-05
123,1.5441470302631852,0.6638076378822326,82.52,99.14,6.755459977176533e-05
124,1.5666771292991737,0.64982442111969,82.82,99.1,6.710139192768697e-05
125,1.5569614864189403,0.6680433353424072,81.83,99.01,6.664685702961345e-05
126,1.539365231532904,0.6385509342193604,82.81,98.98,6.619104492241846e-05
127,1.5317929778605814,0.639555934715271,82.79,99.01,6.573400559103614e-05
128,1.5291792406925928,0.6272062802791596,83.09,99.12,6.527578915497952e-05
