epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.527757072448731,4.248719682312012,6.8,22.9,1e-05
1,4.462019205093384,3.9709806045532225,10.82,31.88,7.971067811865476e-05
2,4.366258049011231,3.6119047760009764,16.1,41.62,0.0001494213562373095
3,4.218112325668335,3.355107331466675,21.8,49.28,0.00021913203435596426
4,4.133043777942658,3.198302252960205,24.42,52.88,0.00028884271247461905
5,4.07167227268219,2.9083254169464112,28.32,58.6,0.0003585533905932738
6,3.960302770137787,2.766450789642334,32.22,62.66,0.00042826406871192854
7,3.9295072197914123,2.7150834968566895,35.22,65.64,0.0004979747468305833
8,3.914341080188751,2.557496294784546,37.74,68.62,0.0005676854249492381
9,3.812464642524719,2.4025684886932375,40.72,70.8,0.0006373961030678928
10,3.909500277042389,2.3082671676635744,43.62,72.64,0.0007051973692431345
11,3.799981725215912,2.199236833190918,44.44,74.14,0.0007047968361663094
12,3.7516711831092833,2.076873487854004,47.7,76.98,0.0007043583335938682
13,3.5113749504089355,1.9914592094421386,51.12,79.02,0.0007038819096125594
14,3.499694299697876,1.999497187423706,51.0,79.44,0.0007033676164676416
15,3.5611567378044127,1.9281604511260986,52.66,79.94,0.0007028155105571533
16,3.6511608958244324,1.753915166568756,55.9,82.64,0.0007022256524257297
17,3.482259380817413,1.768561826324463,56.2,83.18,0.0007015981067579615
18,3.4318840146064757,1.6488935013771058,58.64,83.64,0.0007009329423713035
19,3.3560659885406494,1.6814947067260742,58.64,83.64,0.0007002302322085261
20,3.320161318778992,1.625510502243042,60.16,85.16,0.0006994900533297176
21,3.3577909231185914,1.6405790365219117,59.9,85.06,0.0006987124869038331
22,3.440947985649109,1.6078056396484375,61.12,86.02,0.0006978976181997934
23,3.3086032629013062,1.5752020776748656,61.42,86.32,0.0006970455365771349
24,3.27222261428833,1.484619741821289,62.9,86.52,0.0006961563354762094
25,3.4232550621032716,1.4957903107643127,63.3,86.76,0.0006952301124079381
26,3.2899479031562806,1.547559628677368,63.94,87.3,0.0006942669689431181
27,3.179209899902344,1.3980075248718262,65.72,88.06,0.0006932670107012838
28,3.274764657020569,1.481709757232666,65.26,88.5,0.0006922303473391251
29,3.1693811893463133,1.5220406715393067,64.5,87.68,0.0006911570925384616
30,3.286304247379303,1.3609181272506714,66.66,88.96,0.0006900473639937768
31,3.056958258152008,1.3570877953529359,66.78,89.54,0.0006889012833993111
