epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.204033548181707,2.0315001094818115,25.14,80.67,1e-05,1,33.98402214050293,33.9840190410614,83486208.0,1,4102.39794921875,485036.1875
1,2.1347326775977002,1.9035123708724975,32.98,84.14,1.9e-05,1,58.445300340652466,24.315470695495605,146918400.0,2,4102.7373046875,485066.0625
2,2.095541627092642,1.8268465976715087,35.81,86.88,2.8000000000000003e-05,1,82.7852554321289,24.229516744613647,210350592.0,3,4103.015625,485092.5625
3,2.0795454608035606,1.7885149480819702,37.01,88.18,3.7e-05,1,107.0945029258728,24.20303440093994,273782784.0,4,4103.22119140625,485113.59375
4,2.0620468723636582,1.7686137084960938,38.07,88.23,4.6e-05,1,131.37361669540405,24.17535638809204,337214976.0,5,4103.44384765625,485136.15625
5,2.049927743235257,1.7300743572235107,40.43,89.23,5.5e-05,1,155.70888757705688,24.231157779693604,400647168.0,6,4103.6796875,485161.125
6,2.0304941633446725,1.7099868907928466,40.78,89.36,6.4e-05,1,180.02240133285522,24.20975971221924,464079360.0,7,4103.95263671875,485189.34375
7,2.0293348838364116,1.6652380006790162,42.39,90.05,7.3e-05,1,204.47083139419556,24.33798909187317,527511552.0,8,4104.21630859375,485217.8125
8,2.0146886708641785,1.6583194471359253,43.27,90.9,8.2e-05,1,228.91587853431702,24.309685230255127,590943744.0,9,4104.4482421875,485244.59375
9,2.0070323834193347,1.6378317302703858,44.06,90.88,9.1e-05,1,253.2921109199524,24.27146553993225,654375936.0,10,4104.7041015625,485274.90625
10,1.9967487004899185,1.5961138702392579,45.6,91.09,9.97534852915723e-05,1,277.6640455722809,24.240006685256958,717808128.0,11,4104.951171875,485305.375
11,1.9871839057468117,1.5792763074874878,46.81,91.92,9.970177445201784e-05,1,302.06774854660034,24.298232078552246,781240320.0,12,4105.17138671875,485333.21875
12,1.973640369697356,1.552430011177063,47.89,92.27,9.964516155915151e-05,1,326.4308168888092,24.261377096176147,844672512.0,13,4105.4091796875,485362.78125
13,1.972453402038115,1.5327150789260864,47.8,92.34,9.958365282121497e-05,1,350.83719873428345,24.303672313690186,908104704.0,14,4105.59912109375,485386.9375
14,1.9609466314926343,1.5288029317855836,49.19,92.75,9.951725498333448e-05,1,375.270220041275,24.33168339729309,971536896.0,15,4105.806640625,485414.15625
15,1.9620884627905149,1.5224204259872436,49.26,92.56,9.94459753267812e-05,1,399.6855800151825,24.29300284385681,1034969088.0,16,4105.9765625,485435.53125
16,1.938401763478864,1.5019610855102539,49.18,92.57,9.936982166817273e-05,1,424.1934931278229,24.406229496002197,1098401280.0,17,4106.20654296875,485464.8125
17,1.947887595270721,1.488241822052002,49.41,92.72,9.928880235861588e-05,1,448.6177942752838,24.322580099105835,1161833472.0,18,4106.35791015625,485484.71875
18,1.9300970541225047,1.480987300682068,51.26,93.36,9.9202926282791e-05,1,473.0734724998474,24.355450868606567,1225265664.0,19,4106.54931640625,485509.4375
19,1.9426694787876555,1.4726571334838867,50.4,93.4,9.911220285797748e-05,1,497.51484513282776,24.33876395225525,1288697856.0,20,4106.6982421875,485527.90625
20,1.925686325214889,1.462572212600708,50.74,93.48,9.901664203302126e-05,1,521.9400038719177,24.323909044265747,1352130048.0,21,4106.880859375,485550.3125
21,1.915848437100458,1.4380901664733887,52.15,94.08,9.891625428724365e-05,1,546.4136209487915,24.371004581451416,1415562240.0,22,4107.06396484375,485571.71875
22,1.9194762076366878,1.4497479816436767,50.82,92.88,9.881105062929222e-05,1,570.8435182571411,24.32917284965515,1478994432.0,23,4107.20361328125,485590.125
23,1.9160071063438542,1.4367071115493775,52.82,93.54,9.870104259593363e-05,1,595.2349457740784,24.289469003677368,1542426624.0,24,4107.32080078125,485604.28125
24,1.912643061099376,1.4235552412033081,52.24,93.32,9.858624225078841e-05,1,619.6084139347076,24.27065944671631,1605858816.0,25,4107.47998046875,485623.5
25,1.9093983909079422,1.4132793533325196,53.33,93.97,9.846666218300807e-05,1,643.9945168495178,24.284908294677734,1669291008.0,26,4107.62646484375,485642.5625
26,1.9074737790604712,1.4097996593475342,53.38,94.48,9.834231550589462e-05,1,668.4281668663025,24.332133054733276,1732723200.0,27,4107.76953125,485659.21875
27,1.9084980976261037,1.396104736328125,53.66,93.77,9.821321585546244e-05,1,692.8485608100891,24.318361043930054,1796155392.0,28,4107.91162109375,485677.09375
28,1.8903820416991446,1.3858077873229981,53.63,94.07,9.807937738894302e-05,1,717.216500043869,24.26511001586914,1859587584.0,29,4108.072265625,485697.125
29,1.893243677942762,1.3805220127105713,55.08,94.43,9.794081478323246e-05,1,741.5664329528809,24.247992038726807,1923019776.0,30,4108.22998046875,485716.125
30,1.8968453431709476,1.3965759782791138,53.39,93.98,9.779754323328192e-05,1,765.8474369049072,24.179521083831787,1986451968.0,31,4108.3408203125,485730.09375
31,1.8874894991116395,1.3600247871398925,55.21,94.46,9.764957845043137e-05,1,790.0864775180817,24.13837456703186,2049884160.0,32,4108.51171875,485750.8125
