epoch,train_loss,eval_loss,eval_top1,eval_top5,test_loss,test_top1,test_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
238,1.802528674697876,1.1663400743484498,62.67,96.15,1.166320872116089,62.84,96.32,1.915615368891117e-05,16,106.70182037353516,106.70181775093079,1034969088.0,16,2072.2216796875,43063.62109375
239,1.79719655418396,1.1619626264572143,62.97,96.26,1.1608345106124878,63.11,96.23,1.8873213616399855e-05,16,210.29925775527954,103.36838245391846,2049884160.0,32,2072.1806640625,43061.95703125
240,1.7855398923873902,1.1657369840621947,62.76,96.09,1.1655075412750244,62.67,96.05,1.859423525312737e-05,16,313.9630444049835,103.36703491210938,3064799232.0,48,2072.1416015625,43060.33984375
241,1.7941440212249755,1.1601871360778808,62.78,96.26,1.1608823554992675,62.59,96.27,1.831924919221506e-05,16,417.6322853565216,103.46831393241882,4079714304.0,64,2072.0947265625,43058.5859375
242,1.808627353668213,1.1617533702850342,62.91,96.35,1.1618415908813478,62.91,96.35,1.804828558898332e-05,16,521.249039888382,103.41191124916077,5094629376.0,80,2072.06787109375,43057.02734375
243,1.8036873472213746,1.165396460723877,63.22,96.41,1.1659831058502197,62.87,96.58,1.7781374157644715e-05,16,624.9143545627594,103.46961617469788,6109544448.0,96,2072.025146484375,43055.40234375
244,1.783333135986328,1.1631091541290284,62.86,96.2,1.1617425100326537,62.72,96.34,1.7518544168045528e-05,16,728.548369884491,103.39991617202759,7124459520.0,112,2071.973876953125,43053.69921875
245,1.7839095632553101,1.1572176401138305,63.08,96.57,1.1553048492431641,62.95,96.54,1.7259824442455923e-05,16,832.1192915439606,103.37490463256836,8139374592.0,128,2071.9296875,43051.86328125
246,1.8110213466644287,1.1618949954986573,62.58,96.13,1.160698923110962,62.71,96.26,1.7005243352409324e-05,16,935.8661768436432,103.47521758079529,9154289664.0,144,2071.90625,43050.5703125
247,1.8083216711044312,1.1599870290756225,63.17,96.23,1.1587114582061768,63.22,96.18,1.6754828815591133e-05,16,1039.514059305191,103.44488286972046,10169204736.0,160,2071.88232421875,43049.1875
248,1.8068434286117554,1.1670315836906433,62.99,96.28,1.1665171367645264,62.98,96.31,1.6508608292777204e-05,16,1143.269210577011,103.55842971801758,11184119808.0,176,2071.859375,43047.82421875
249,1.806721731567383,1.1689143096923829,63.02,96.16,1.1682097589492797,62.89,96.25,1.6266608784822544e-05,16,1246.9472181797028,103.47627282142639,12199034880.0,192,2071.831787109375,43046.66796875
250,1.8001832818984986,1.1597773361206054,62.96,96.45,1.1586143951416015,63.28,96.25,1.602885682970027e-05,16,1350.6012017726898,103.40621042251587,13213949952.0,208,2071.786865234375,43044.6796875
251,1.7977019021987914,1.1586380546569823,63.3,96.31,1.1603408102035522,63.22,96.22,1.5795378499591472e-05,16,1454.2216310501099,103.40362691879272,14228865024.0,224,2071.754638671875,43043.33203125
252,1.7975181606292725,1.1617085813522339,63.08,96.14,1.1623889852523803,62.79,96.14,1.556619939802614e-05,16,1558.0662274360657,103.57373023033142,15243780096.0,240,2071.70849609375,43041.6953125
253,1.7955649896621704,1.1608553026199342,62.72,96.16,1.1601459100723266,62.67,96.15,1.5341344657075355e-05,16,1661.7648711204529,103.46167254447937,16258695168.0,256,2071.6748046875,43040.28125
254,1.8010144283294678,1.158425170326233,63.1,96.35,1.1583696739196778,62.82,96.51,1.5120838934595337e-05,16,1765.4659004211426,103.49567770957947,17273610240.0,272,2071.63330078125,43038.53125
255,1.8036618385314942,1.1587501329421996,62.63,96.13,1.1595735095977784,62.73,96.27,1.490470641152345e-05,16,1869.0476927757263,103.38139700889587,18288525312.0,288,2071.59619140625,43036.8359375
256,1.794009525680542,1.1553784133911134,63.18,96.05,1.1542045684814453,63.13,96.32,1.469297078922643e-05,16,1972.7973680496216,103.54712080955505,19303440384.0,304,2071.584716796875,43035.78125
257,1.809352254486084,1.1615437700271607,62.89,96.39,1.161006841468811,63.02,96.27,1.4485655286901294e-05,16,2076.4408419132233,103.44130873680115,20318355456.0,320,2071.566650390625,43034.65234375
258,1.7851335443496703,1.1553503076553344,63.12,96.37,1.1560870698928833,63.15,96.37,1.428278263902913e-05,16,2180.048885822296,103.41165924072266,21333270528.0,336,2071.551025390625,43033.5078125
259,1.8000352167129516,1.158616404914856,63.08,96.24,1.1589192134857178,62.87,96.29,1.4084375092881918e-05,16,2283.5062959194183,103.26063871383667,22348185600.0,352,2071.52978515625,43032.5
260,1.787178191947937,1.15657653465271,63.25,96.24,1.1559817796707152,63.17,96.33,1.3890454406082966e-05,16,2387.189400434494,103.48682713508606,23363100672.0,368,2071.5,43030.96484375
261,1.8036606985092163,1.1619460205078125,62.96,96.31,1.161577671432495,63.06,96.26,1.3701041844220859e-05,16,2490.777317047119,103.3588616847992,24378015744.0,384,2071.497314453125,43030.38671875
262,1.8100487831115724,1.1582509105682373,63.03,96.2,1.1591541528701783,63.0,96.4,1.3516158178517472e-05,16,2594.380011320114,103.37241077423096,25392930816.0,400,2071.487548828125,43029.62109375
263,1.8059680372238158,1.1583221492767335,63.55,96.24,1.157923299407959,63.29,96.2,1.3335823683550238e-05,16,2698.1296780109406,103.53001523017883,26407845888.0,416,2071.4697265625,43028.8515625
264,1.7969446138381957,1.1595504684448241,62.97,96.23,1.158904210472107,63.13,96.2,1.3160058135028691e-05,16,2801.907646179199,103.580557346344,27422760960.0,432,2071.4521484375,43027.75390625
