epoch,train_loss,eval_loss,eval_top1,eval_top5,test_loss,test_top1,test_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.184403840255737,1.9645721216201781,29.32,82.39,1.9646834457397462,29.51,82.39,1e-05,34,38.92694568634033,38.92694282531738,2176748544.0,34,8692.029296875,1025541.25
1,2.116530916595459,1.85727707862854,34.28,85.77,1.857658345222473,34.18,85.72,1.9e-05,34,68.06075692176819,28.92209768295288,4333443072.0,68,8692.171875,1025546.5
2,2.0854710081100465,1.7988479335784913,35.63,86.68,1.798878190422058,35.74,86.68,2.8000000000000003e-05,34,97.20348811149597,28.88661503791809,6490137600.0,102,8692.2685546875,1025545.875
3,2.0587629625320436,1.7466581523895264,39.32,87.25,1.74687099609375,39.16,87.4,3.7e-05,34,126.2705557346344,28.846356630325317,8646832128.0,136,8692.400390625,1025548.125
4,2.0421590810775756,1.688636471748352,40.91,89.21,1.688750039100647,40.84,89.23,4.6e-05,34,155.35918593406677,28.86746597290039,10803526656.0,170,8692.5498046875,1025550.25
5,2.0295940254211424,1.6605479736328126,44.24,90.52,1.6603395652770996,44.24,90.67,5.5e-05,34,184.42571425437927,28.837482213974,12960221184.0,204,8692.7021484375,1025555.1875
6,1.997391018295288,1.5934090482711791,46.25,90.95,1.5936303380966186,46.38,91.02,6.4e-05,34,213.53137636184692,28.88720440864563,15116915712.0,238,8692.88671875,1025563.9375
7,1.9870545597076417,1.5571683925628663,46.35,91.72,1.5570579483032227,46.31,91.56,7.3e-05,34,242.70866179466248,28.928582668304443,17273610240.0,272,8693.0830078125,1025574.6875
8,1.9705047874450683,1.5281818954467774,47.68,91.7,1.529399391937256,47.21,91.56,8.2e-05,34,271.83239245414734,28.87443470954895,19430304768.0,306,8693.2470703125,1025583.8125
9,1.9571085624694824,1.469090791130066,50.24,92.77,1.469726810836792,50.14,92.76,9.1e-05,34,301.0153396129608,28.89381718635559,21586999296.0,340,8693.4658203125,1025599.8125
10,1.956073878479004,1.4342901151657104,50.81,92.93,1.4351549089431763,50.75,92.9,9.97534852915723e-05,34,330.11117124557495,28.88302230834961,23743693824.0,374,8693.6337890625,1025613.3125
11,1.920558513069153,1.4788630805969238,50.52,93.15,1.4792034618377685,50.35,92.89,9.970177445201784e-05,34,359.205513715744,28.878105401992798,25900388352.0,408,8693.8349609375,1025628.625
12,1.9176960678100585,1.4101848979949951,52.0,93.5,1.4103372104644776,52.03,93.54,9.964516155915151e-05,34,388.32744669914246,28.879188060760498,28057082880.0,442,8694.00390625,1025641.0625
13,1.9089476543426513,1.4107562549591064,53.01,93.74,1.410524700164795,52.86,93.81,9.958365282121497e-05,34,417.44491958618164,28.84999704360962,30213777408.0,476,8694.1767578125,1025654.875
14,1.8942364307403565,1.3575812456130982,55.73,94.83,1.358261056137085,56.19,94.9,9.951725498333448e-05,34,446.570339679718,28.911545753479004,32370471936.0,510,8694.3544921875,1025670.5625
15,1.898412406349182,1.3178347591400146,55.54,94.4,1.3195014629364015,55.7,94.54,9.94459753267812e-05,34,475.67556619644165,28.899304628372192,34527166464.0,544,8694.5009765625,1025680.75
16,1.8717873863220216,1.3235417766571045,55.92,94.64,1.3231907419204711,56.22,94.73,9.936982166817273e-05,34,504.83222246170044,28.91888976097107,36683860992.0,578,8694.69140625,1025694.5
17,1.8641942659378052,1.2980564878463745,57.75,95.15,1.2983736848831178,57.82,95.28,9.928880235861588e-05,34,533.9947402477264,28.92467474937439,38840555520.0,612,8694.890625,1025712.125
18,1.859468773651123,1.282573761177063,58.77,95.37,1.2828769842147827,58.72,95.57,9.9202926282791e-05,34,563.0659050941467,28.860058069229126,40997250048.0,646,8695.0009765625,1025718.625
19,1.8483570091247559,1.2480905445098878,59.12,94.97,1.2473668460845948,59.09,94.86,9.911220285797748e-05,34,592.1894688606262,28.840214729309082,43153944576.0,680,8695.15625,1025732.0
20,1.8372295059204102,1.2153570398330689,59.69,95.99,1.2146732475280761,59.96,95.88,9.901664203302126e-05,34,621.2485506534576,28.85376238822937,45310639104.0,714,8695.3203125,1025745.0
21,1.844327696800232,1.2133661540985108,60.18,95.41,1.212816139602661,60.36,95.48,9.891625428724365e-05,34,650.3449549674988,28.8770911693573,47467333632.0,748,8695.4462890625,1025754.125
22,1.8397101322174072,1.1945046018600465,60.55,95.75,1.194922388267517,60.39,95.74,9.881105062929222e-05,34,679.4000024795532,28.844040632247925,49624028160.0,782,8695.55078125,1025760.25
23,1.8267641538619994,1.1999777760505677,60.87,95.56,1.1999991189956665,61.13,95.7,9.870104259593363e-05,34,708.8835988044739,29.27268934249878,51780722688.0,816,8695.6767578125,1025769.375
24,1.8118906797409058,1.153620220375061,62.74,96.31,1.1537561923980713,62.84,96.24,9.858624225078841e-05,34,737.9864060878754,28.865790128707886,53937417216.0,850,8695.8154296875,1025781.9375
25,1.821241722869873,1.160730654335022,63.22,96.26,1.1604676285743714,63.32,96.28,9.846666218300807e-05,34,767.0567853450775,28.85784912109375,56094111744.0,884,8695.9677734375,1025791.8125
26,1.808802525138855,1.152819827079773,63.01,96.52,1.151642573261261,62.86,96.52,9.834231550589462e-05,34,796.1525175571442,28.881091356277466,58250806272.0,918,8696.1259765625,1025804.875
27,1.7990539972305297,1.1322847013473512,64.46,97.03,1.1323929327964783,64.34,96.9,9.821321585546244e-05,34,825.2397193908691,28.88367509841919,60407500800.0,952,8696.28125,1025818.8125
28,1.7936654487609864,1.1072281487464906,64.89,96.85,1.1074624176979064,64.72,96.8,9.807937738894302e-05,34,854.3122155666351,28.86020565032959,62564195328.0,986,8696.435546875,1025832.6875
29,1.7964821485519409,1.111434302330017,65.01,96.88,1.1113246782302857,64.89,97.01,9.794081478323246e-05,34,883.3747341632843,28.857696294784546,64720889856.0,1020,8696.56640625,1025844.625
30,1.7678302947998046,1.0824932711601258,65.73,96.77,1.0814846299171448,65.78,96.75,9.779754323328192e-05,34,912.4507448673248,28.869237184524536,66877584384.0,1054,8696.740234375,1025858.75
31,1.7900571640014649,1.104227008342743,65.67,96.47,1.104617204761505,65.78,96.64,9.764957845043137e-05,34,941.5756750106812,28.845062732696533,69034278912.0,1088,8696.8916015625,1025873.1875
32,1.764840936088562,1.0748641662597656,66.14,96.5,1.073465364074707,66.37,96.56,9.749693666068666e-05,34,970.6531481742859,28.840457439422607,71190973440.0,1122,8697.037109375,1025887.25
33,1.7684456029891968,1.053684916973114,66.3,97.12,1.0532212866783142,66.88,97.05,9.733963460294015e-05,34,999.731550693512,28.87223982810974,73347667968.0,1156,8697.150390625,1025897.3125
34,1.758132499885559,1.048246896457672,67.75,96.98,1.0485407711982726,67.78,97.1,9.717768952713513e-05,34,1028.8154022693634,28.875666856765747,75504362496.0,1190,8697.28515625,1025911.875
35,1.7528720260620116,1.040435810470581,67.21,97.14,1.0412083487510682,67.03,97.03,9.701111919237408e-05,34,1057.9419515132904,28.920028686523438,77661057024.0,1224,8697.412109375,1025925.0
