epoch,train_loss,train_acc1,eval_loss,eval_top1,eval_top5,test_loss,test_top1,test_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.211837251663208,0,2.0498278617858885,24.56,79.66,2.049068507385254,24.49,79.72,1e-05,1,32.89731192588806,32.89730906486511,83486208.0,1,282.4786682128906,34903.37109375
1,2.1553801321029664,0,1.9569672285079955,28.31,82.55,1.9542039951324464,28.79,82.37,1.9e-05,1,54.635361433029175,21.689844369888306,146918400.0,2,282.757568359375,34926.02734375
2,2.113664868736267,0,1.8707005905151368,33.39,85.53,1.8665561666488648,33.93,85.62,2.8000000000000003e-05,1,76.21922206878662,21.556392431259155,210350592.0,3,283.07012939453125,34953.9296875
3,2.083914126777649,0,1.8183114217758178,36.76,86.88,1.8121884790420533,37.01,87.38,3.7e-05,1,97.79971551895142,21.553364992141724,273782784.0,4,283.2984313964844,34977.4296875
4,2.0679050981521607,0,1.7730497106552123,37.7,86.89,1.7653393047332764,37.51,87.48,4.6e-05,1,119.37181758880615,21.54585337638855,337214976.0,5,283.493896484375,34998.34765625
5,2.0519822011947633,0,1.747486947631836,38.8,88.37,1.7421188837051391,39.6,89.26,5.5e-05,1,140.9790394306183,21.580366373062134,400647168.0,6,283.69390869140625,35019.328125
6,2.044089292907715,0,1.7199405502319336,40.73,88.99,1.7135124994277955,41.73,89.74,6.4e-05,1,162.56403970718384,21.55975604057312,464079360.0,7,283.9251403808594,35043.9609375
7,2.0359329488754274,0,1.703003871536255,41.85,89.34,1.6970519954681396,42.12,89.97,7.3e-05,1,184.18549060821533,21.582721948623657,527511552.0,8,284.1632080078125,35070.48828125
8,2.0334211055755613,0,1.6840858526229858,42.06,89.94,1.67808189163208,42.72,90.44,8.2e-05,1,205.83188557624817,21.619412183761597,590943744.0,9,284.36090087890625,35092.62890625
9,2.0163582159042357,0,1.6587546337127685,42.66,89.85,1.6540355743408204,42.68,90.32,9.1e-05,1,227.49948072433472,21.641934633255005,654375936.0,10,284.5965576171875,35120.875
10,2.0078073514938355,0,1.6242039989471435,43.69,90.64,1.6195225742340087,44.2,91.15,9.97534852915723e-05,1,249.20467519760132,21.679166078567505,717808128.0,11,284.8194274902344,35147.0
11,1.9968913578033447,0,1.6044678091049194,44.77,90.73,1.600215571784973,45.17,91.78,9.970177445201784e-05,1,270.86190581321716,21.631654262542725,781240320.0,12,285.0223388671875,35171.78515625
12,1.9860007558822632,0,1.583079747390747,45.64,91.25,1.5790449600219727,45.54,91.97,9.964516155915151e-05,1,292.51815271377563,21.63027787208557,844672512.0,13,285.2055969238281,35192.484375
13,1.9844189558029175,0,1.5921096551895142,47.5,91.55,1.5872816270828247,47.23,92.14,9.958365282121497e-05,1,314.18480801582336,21.642175912857056,908104704.0,14,285.3660888671875,35211.84765625
14,1.973268651008606,0,1.5535686521530152,47.43,91.41,1.5484569696426391,47.55,92.06,9.951725498333448e-05,1,335.8533384799957,21.642296075820923,971536896.0,15,285.552978515625,35233.28515625
15,1.9675122816085815,0,1.562223265838623,46.48,90.86,1.5586860345840454,46.12,91.34,9.94459753267812e-05,1,357.5024039745331,21.623265981674194,1034969088.0,16,285.7137145996094,35253.07421875
16,1.9641394540786743,0,1.5343145486831664,48.24,92.07,1.5302542753219603,48.5,92.67,9.936982166817273e-05,1,379.16338562965393,21.635767698287964,1098401280.0,17,285.84808349609375,35269.7265625
17,1.9607352224349976,0,1.5268304874420167,47.85,91.92,1.524914880180359,48.3,92.38,9.928880235861588e-05,1,400.77702045440674,21.58780574798584,1161833472.0,18,286.00439453125,35288.23046875
18,1.9446522314071655,0,1.5048155334472657,48.56,92.22,1.499325288963318,48.43,92.73,9.9202926282791e-05,1,422.4300711154938,21.628233194351196,1225265664.0,19,286.175048828125,35309.34375
19,1.9451663949966431,0,1.4904400411605836,50.49,92.5,1.4844564960479736,50.77,92.83,9.911220285797748e-05,1,444.0981993675232,21.642922401428223,1288697856.0,20,286.3015441894531,35325.08203125
20,1.936130421257019,0,1.4894191646575927,50.46,92.13,1.484454588317871,50.92,92.78,9.901664203302126e-05,1,465.7445945739746,21.62132430076599,1352130048.0,21,286.4248352050781,35340.10546875
21,1.9319685262680053,0,1.4908134078979491,49.33,92.73,1.486229263305664,49.68,92.88,9.891625428724365e-05,1,487.4111547470093,21.638092279434204,1415562240.0,22,286.5771484375,35358.734375
22,1.9313679824829102,0,1.4741444160461425,50.99,92.61,1.4713295541763305,50.77,92.98,9.881105062929222e-05,1,509.0377173423767,21.60030174255371,1478994432.0,23,286.6904296875,35373.20703125
23,1.9327537034988402,0,1.4603278467178344,52.24,92.85,1.4544344667434692,52.44,93.27,9.870104259593363e-05,1,530.7002305984497,21.636505365371704,1542426624.0,24,286.81231689453125,35388.25390625
24,1.908290828895569,0,1.4422717849731446,52.02,93.23,1.4389298685073852,52.43,93.41,9.858624225078841e-05,1,552.3686430454254,21.643696308135986,1605858816.0,25,286.9609069824219,35407.08984375
