epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.171897291946411,0,"tensor(3.1209e-11, device='cuda:0')",1.9361304054260253,29.39,1.9318905393600463,30.94,1e-05,8,52.36398267745972,52.36397862434387,527511552.0,8,4102.2177734375,485008.125
1,2.1049042051315308,0,"tensor(5.8055e-11, device='cuda:0')",1.8279074138641358,35.81,1.820029448699951,36.24,1.9e-05,8,104.0259428024292,40.61270713806152,1034969088.0,16,4102.28173828125,485003.09375
2,2.063310938072205,0,"tensor(8.0381e-11, device='cuda:0')",1.7357059412002565,38.47,1.7284349224090576,38.6,2.8000000000000003e-05,8,144.69462728500366,40.523550033569336,1542426624.0,24,4102.3154296875,484990.8125
3,2.039987552833557,0,"tensor(9.7561e-11, device='cuda:0')",1.6943429548263549,40.8,1.6838427593231202,40.76,3.7e-05,8,185.27224683761597,40.43314790725708,2049884160.0,32,4102.4013671875,484983.0625
4,2.03066236743927,0,"tensor(1.1323e-10, device='cuda:0')",1.6551980730056763,43.01,1.6480937314987183,44.01,4.6e-05,8,225.83252477645874,40.41612458229065,2557341696.0,40,4102.431640625,484968.53125
5,2.008484992790222,0,"tensor(1.2801e-10, device='cuda:0')",1.6142584547042846,46.46,1.6101641080856324,46.29,5.5e-05,8,266.4008860588074,40.42463397979736,3064799232.0,48,4102.49462890625,484955.5
6,1.9811902544021607,0,"tensor(1.4083e-10, device='cuda:0')",1.550075443649292,47.05,1.5431329086303711,47.51,6.4e-05,8,306.9280745983124,40.36447191238403,3572256768.0,56,4102.54443359375,484938.125
7,1.9639089925765991,0,"tensor(1.5349e-10, device='cuda:0')",1.5232482625961303,47.76,1.5156512670516968,47.71,7.3e-05,8,347.52364706993103,40.442421197891235,4079714304.0,64,4102.595703125,484923.125
8,1.9597205837249756,0,"tensor(1.6085e-10, device='cuda:0')",1.488927774810791,49.8,1.4844345447540284,49.72,8.2e-05,8,388.44539523124695,40.455397605895996,4587171840.0,72,4102.65234375,484906.59375
9,1.9574533756256103,0,"tensor(1.6938e-10, device='cuda:0')",1.4779373886108398,50.6,1.4694309501647949,51.04,9.1e-05,8,430.13040256500244,40.38075017929077,5094629376.0,80,4102.71826171875,484892.28125
10,1.935208094215393,0,"tensor(1.7849e-10, device='cuda:0')",1.4533240760803223,52.17,1.4465462436676026,52.15,9.97534852915723e-05,8,470.9059419631958,40.427868127822876,5602086912.0,88,4102.82373046875,484885.625
11,1.926175719833374,0,"tensor(1.6806e-10, device='cuda:0')",1.4056045194625855,53.26,1.3996008672714233,53.74,9.970177445201784e-05,8,513.3494338989258,40.661977767944336,6109544448.0,96,4102.91015625,484872.75
12,1.90372237033844,0,"tensor(1.6293e-10, device='cuda:0')",1.3494920454025268,55.39,1.3479037294387817,55.63,9.964516155915151e-05,8,563.6119577884674,40.554041385650635,6617001984.0,104,4102.9990234375,484860.53125
13,1.8962580066680907,0,"tensor(1.5838e-10, device='cuda:0')",1.3377948829650879,56.64,1.340458279800415,55.8,9.958365282121497e-05,8,604.0703401565552,40.31524634361267,7124459520.0,112,4103.08447265625,484849.625
14,1.8811296812057494,0,"tensor(1.5376e-10, device='cuda:0')",1.3139933372497559,56.09,1.3071244283676147,56.83,9.951725498333448e-05,8,644.5394847393036,40.298869371414185,7631917056.0,120,4103.15185546875,484840.71875
15,1.866981043624878,0,"tensor(1.4920e-10, device='cuda:0')",1.2903231000900268,57.82,1.291030125617981,57.42,9.94459753267812e-05,8,685.6976947784424,40.9882550239563,8139374592.0,128,4103.23486328125,484831.21875
16,1.86321255569458,0,"tensor(1.4403e-10, device='cuda:0')",1.2649696029663087,58.78,1.2644907634735107,59.25,9.936982166817273e-05,8,726.2268600463867,40.385242223739624,8646832128.0,136,4103.2958984375,484821.75
17,1.8465873874664307,0,"tensor(1.4001e-10, device='cuda:0')",1.2131031259536744,60.97,1.2087263391494751,60.79,9.928880235861588e-05,8,766.7068490982056,40.337618589401245,9154289664.0,144,4103.41259765625,484816.09375
18,1.836747064781189,0,"tensor(1.3878e-10, device='cuda:0')",1.2239688529014587,60.64,1.2252181131362916,60.31,9.9202926282791e-05,8,807.2572968006134,40.341803312301636,9661747200.0,152,4103.5068359375,484807.84375
19,1.8383194053649903,0,"tensor(1.3347e-10, device='cuda:0')",1.176702526473999,62.38,1.1786378135681153,63.0,9.911220285797748e-05,8,847.603654384613,40.202266216278076,10169204736.0,160,4103.5322265625,484795.625
20,1.8120609199523925,0,"tensor(1.3326e-10, device='cuda:0')",1.1675586893081664,61.97,1.1678638914108277,62.11,9.901664203302126e-05,8,897.8779838085175,40.37477087974548,10676662272.0,168,4103.63623046875,484792.90625
21,1.814633307647705,0,"tensor(1.3173e-10, device='cuda:0')",1.160327495765686,63.99,1.157802939414978,64.28,9.891625428724365e-05,8,940.5698461532593,40.32737755775452,11184119808.0,176,4103.7060546875,484786.125
22,1.8033832641601562,0,"tensor(1.2903e-10, device='cuda:0')",1.1137832572937012,64.45,1.1145235644340514,64.73,9.881105062929222e-05,8,989.7652831077576,40.63523888587952,11691577344.0,184,4103.8486328125,484787.46875
23,1.7977143487930298,0,"tensor(1.2711e-10, device='cuda:0')",1.0987526713371276,64.7,1.1027585327148437,65.32,9.870104259593363e-05,8,1030.1425251960754,40.234774589538574,12199034880.0,192,4103.939453125,484782.75
24,1.8050300601959228,0,"tensor(1.2463e-10, device='cuda:0')",1.091975625896454,65.45,1.099699660015106,65.41,9.858624225078841e-05,8,1070.604155778885,40.319109201431274,12706492416.0,200,4103.994140625,484773.6875
25,1.784876690864563,0,"tensor(1.2478e-10, device='cuda:0')",1.0712533126831054,66.31,1.0762476163864136,66.3,9.846666218300807e-05,8,1111.1626892089844,40.41773462295532,13213949952.0,208,4104.1162109375,484773.78125
