epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2181252487182617,2.0727364559173584,23.3,78.52,1e-05,16,94.93285536766052,94.93285202980042,1034969088.0,16,2121.48779296875,44351.359375
1,2.1609757179260254,2.0008016403198243,28.64,81.62,1.9e-05,16,186.9220576286316,91.78898549079895,2049884160.0,32,2120.9091796875,44341.56640625
2,2.121673293876648,1.9073851203918457,32.7,84.21,2.8000000000000003e-05,16,279.0149998664856,91.88839983940125,3064799232.0,48,2119.989501953125,44323.87109375
3,2.093885871696472,1.8527902822494506,34.61,85.81,3.7e-05,16,371.12369179725647,91.8336751461029,4079714304.0,64,2119.34716796875,44312.015625
4,2.0873366302490233,1.8287551671981812,36.35,86.41,4.6e-05,16,463.0371515750885,91.71316528320312,5094629376.0,80,2119.013916015625,44305.25390625
5,2.0834871068954466,1.817322843170166,35.48,86.8,5.5e-05,16,554.8735909461975,91.6328592300415,6109544448.0,96,2118.732666015625,44300.15234375
6,2.0665986156463623,1.799016000175476,36.64,86.61,6.4e-05,16,646.7616364955902,91.6838629245758,7124459520.0,112,2118.281494140625,44291.8515625
7,2.0616687309265136,1.7672529779434205,37.46,87.35,7.3e-05,16,738.6555128097534,91.69334864616394,8139374592.0,128,2117.778564453125,44282.48046875
8,2.063807340812683,1.7722353801727295,38.75,88.2,8.2e-05,16,830.4244956970215,91.56851530075073,9154289664.0,144,2117.38818359375,44275.1484375
9,2.060317261886597,1.7687873271942138,38.7,87.39,9.1e-05,16,922.2884221076965,91.66223621368408,10169204736.0,160,2116.86962890625,44266.28125
10,2.054030764389038,1.760758959197998,38.39,87.38,9.97534852915723e-05,16,1014.0996828079224,91.5415289402008,11184119808.0,176,2116.282470703125,44255.00390625
11,2.050790213394165,1.7423885906219483,39.72,88.07,9.970177445201784e-05,16,1105.7407376766205,91.41848254203796,12199034880.0,192,2115.68017578125,44245.0234375
12,2.0408299604415894,1.72303776512146,39.02,88.05,9.964516155915151e-05,16,1197.3555438518524,91.41950464248657,13213949952.0,208,2114.947265625,44230.375
13,2.042636964607239,1.7053368474960326,40.76,88.89,9.958365282121497e-05,16,1289.219084262848,91.63432598114014,14228865024.0,224,2114.3544921875,44219.5
14,2.029436692237854,1.7021504280090332,40.25,89.19,9.951725498333448e-05,16,1381.2318580150604,91.80142903327942,15243780096.0,240,2113.685546875,44206.46484375
15,2.021577861213684,1.6874498245239258,42.58,89.51,9.94459753267812e-05,16,1473.19806599617,91.7677710056305,16258695168.0,256,2113.022216796875,44193.5625
16,2.0222706930160523,1.664469004058838,42.07,90.01,9.936982166817273e-05,16,1565.32168507576,91.90522480010986,17273610240.0,272,2112.427978515625,44182.30859375
