epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.171779574394226,18.14903846153846,"tensor(3.1186e-11, device='cuda:0')",1.936018692588806,29.42,1.9315475345611572,30.99,1e-05,8,53.09549641609192,53.09549427032471,527511552.0,8,4102.2177734375,485008.125
1,2.1050042638778685,24.158653846153847,"tensor(5.8060e-11, device='cuda:0')",1.8283222272872925,35.82,1.820395782661438,36.18,1.9e-05,8,95.00808644294739,41.73293685913086,1034969088.0,16,4102.28271484375,485003.03125
2,2.063337218284607,28.004807692307693,"tensor(8.0391e-11, device='cuda:0')",1.7346166400909424,38.39,1.7279804628372193,38.37,2.8000000000000003e-05,8,136.94777035713196,41.78429198265076,1542426624.0,24,4102.31689453125,484990.96875
3,2.0400285875320434,31.370192307692307,"tensor(9.7703e-11, device='cuda:0')",1.6939988721847534,40.84,1.68307193775177,40.76,3.7e-05,8,178.84016633033752,41.740872621536255,2049884160.0,32,4102.40087890625,484982.9375
4,2.0309956672668457,27.283653846153847,"tensor(1.1339e-10, device='cuda:0')",1.6551761180877687,43.15,1.6470418123245238,44.12,4.6e-05,8,220.72908473014832,41.74075436592102,2557341696.0,40,4102.42724609375,484968.21875
5,2.0083884092330933,30.28846153846154,"tensor(1.2808e-10, device='cuda:0')",1.6139157106399535,46.14,1.6105201669692992,46.15,5.5e-05,8,262.6104929447174,41.72844123840332,3064799232.0,48,4102.48681640625,484955.5625
6,1.9813473909378052,36.53846153846154,"tensor(1.4120e-10, device='cuda:0')",1.5521722988128661,46.89,1.5460503732681274,47.22,6.4e-05,8,304.46021342277527,41.70092439651489,3572256768.0,56,4102.5380859375,484937.78125
7,1.9638804021835328,33.29326923076923,"tensor(1.5340e-10, device='cuda:0')",1.5256112825393677,47.44,1.5181776958465576,47.75,7.3e-05,8,346.3660752773285,41.68704271316528,4079714304.0,64,4102.59326171875,484923.4375
8,1.9603267564773559,37.13942307692308,"tensor(1.6085e-10, device='cuda:0')",1.4890191619873048,50.2,1.4854284971237182,49.62,8.2e-05,8,388.2929594516754,41.77741861343384,4587171840.0,72,4102.6455078125,484906.25
9,1.9578629320144654,37.98076923076923,"tensor(1.6937e-10, device='cuda:0')",1.480882585144043,50.99,1.4738408506393432,50.87,9.1e-05,8,430.1991605758667,41.755682945251465,5094629376.0,80,4102.7060546875,484891.9375
10,1.9352826236724854,38.22115384615385,"tensor(1.7864e-10, device='cuda:0')",1.4525122497558594,52.38,1.4468370176315308,52.73,9.97534852915723e-05,8,472.10274028778076,41.75473380088806,5602086912.0,88,4102.8291015625,484886.625
11,1.9265561504364013,44.71153846153846,"tensor(1.6789e-10, device='cuda:0')",1.4042621339797974,53.42,1.397856777381897,53.62,9.970177445201784e-05,8,513.9724371433258,41.71937584877014,6109544448.0,96,4102.90087890625,484873.53125
12,1.9040432163238525,36.53846153846154,"tensor(1.6306e-10, device='cuda:0')",1.3534016551971435,55.11,1.3522084367752074,55.01,9.964516155915151e-05,8,555.9123029708862,41.77052354812622,6617001984.0,104,4102.99755859375,484863.875
13,1.8963263845443725,43.50961538461539,"tensor(1.5863e-10, device='cuda:0')",1.3426235046386719,55.81,1.3446664291381836,55.8,9.958365282121497e-05,8,597.8518989086151,41.7871036529541,7124459520.0,112,4103.08935546875,484853.875
14,1.8808876741409302,38.34134615384615,"tensor(1.5378e-10, device='cuda:0')",1.3140526721954346,56.27,1.3082266498565673,57.08,9.951725498333448e-05,8,639.7772128582001,41.77251052856445,7631917056.0,120,4103.16357421875,484845.03125
15,1.8669675073623657,39.42307692307692,"tensor(1.4907e-10, device='cuda:0')",1.2968730407714844,57.75,1.2953505270004273,57.17,9.94459753267812e-05,8,681.7169411182404,41.79137825965881,8139374592.0,128,4103.25244140625,484837.15625
16,1.863567597770691,40.50480769230769,"tensor(1.4380e-10, device='cuda:0')",1.2655828493118286,59.11,1.2661639860153198,59.13,9.936982166817273e-05,8,723.586243391037,41.718080043792725,8646832128.0,136,4103.3115234375,484827.3125
17,1.8467464031219483,45.79326923076923,"tensor(1.3990e-10, device='cuda:0')",1.2095430465698243,61.41,1.2076609088897705,61.4,9.928880235861588e-05,8,765.4881000518799,41.75365734100342,9154289664.0,144,4103.439453125,484823.96875
18,1.8357570058822632,44.47115384615385,"tensor(1.3843e-10, device='cuda:0')",1.22544019947052,60.52,1.2281058214187621,60.2,9.9202926282791e-05,8,807.4020001888275,41.7654550075531,9661747200.0,152,4103.53076171875,484815.59375
19,1.839209511756897,45.3125,"tensor(1.3331e-10, device='cuda:0')",1.1755661376953126,62.71,1.1760814464569092,62.86,9.911220285797748e-05,8,849.2840313911438,41.727444887161255,10169204736.0,160,4103.53369140625,484799.65625
20,1.812176651954651,53.24519230769231,"tensor(1.3347e-10, device='cuda:0')",1.1659434332847596,62.08,1.1672335926055908,62.23,9.901664203302126e-05,8,891.1165523529053,41.68345236778259,10676662272.0,168,4103.66064453125,484797.78125
21,1.8135985681533813,46.875,"tensor(1.3186e-10, device='cuda:0')",1.1618011185646058,63.98,1.160341606235504,64.45,9.891625428724365e-05,8,933.007007598877,41.72869372367859,11184119808.0,176,4103.73046875,484791.96875
22,1.8029298557281495,52.04326923076923,"tensor(1.2915e-10, device='cuda:0')",1.1098958281517028,64.34,1.1117369092941285,64.82,9.881105062929222e-05,8,974.7269546985626,41.57024812698364,11691577344.0,184,4103.85498046875,484791.71875
23,1.7977602073669434,42.1875,"tensor(1.2723e-10, device='cuda:0')",1.1034964120864867,64.67,1.1055371129989624,64.9,9.870104259593363e-05,8,1016.4305884838104,41.55135226249695,12199034880.0,192,4103.9482421875,484785.75
24,1.8047267896652222,46.15384615384615,"tensor(1.2467e-10, device='cuda:0')",1.087290394973755,65.51,1.094016790008545,65.72,9.858624225078841e-05,8,1058.1404294967651,41.56033158302307,12706492416.0,200,4104.00537109375,484777.1875
25,1.7847406387329101,44.59134615384615,"tensor(1.2507e-10, device='cuda:0')",1.074428267288208,65.96,1.0759314133644104,65.98,9.846666218300807e-05,8,1099.8314175605774,41.53191256523132,13213949952.0,208,4104.1083984375,484774.75
26,1.7726765895843506,53.00480769230769,"tensor(1.2306e-10, device='cuda:0')",1.0772821146011353,66.9,1.0822714742660522,66.59,9.834231550589462e-05,8,1141.5356118679047,41.555743932724,13721407488.0,216,4104.2431640625,484779.375
27,1.759985739326477,45.3125,"tensor(1.2020e-10, device='cuda:0')",1.045220606613159,67.36,1.0512438919067382,67.38,9.821321585546244e-05,8,1183.2157135009766,41.5041401386261,14228865024.0,224,4104.3603515625,484782.25
28,1.756647103691101,49.75961538461539,"tensor(1.2012e-10, device='cuda:0')",1.035394642162323,67.76,1.037692054271698,67.89,9.807937738894302e-05,8,1224.9959561824799,41.62666082382202,14736322560.0,232,4104.48974609375,484786.0625
29,1.7502036287307738,55.04807692307692,"tensor(1.1834e-10, device='cuda:0')",1.024517552947998,68.55,1.0217839566230773,68.66,9.794081478323246e-05,8,1266.7531847953796,41.5902054309845,15243780096.0,240,4104.58349609375,484787.65625
30,1.7622093156814576,53.84615384615385,"tensor(1.1563e-10, device='cuda:0')",1.009675199317932,68.77,1.0158433838844299,68.79,9.779754323328192e-05,8,1308.4055302143097,41.50305891036987,15751237632.0,248,4104.63916015625,484783.03125
31,1.7461561029434205,49.39903846153846,"tensor(1.1621e-10, device='cuda:0')",0.9960491834640502,69.63,1.0037965017318726,69.51,9.764957845043137e-05,8,1350.1359498500824,41.580411195755005,16258695168.0,256,4104.74755859375,484784.3125
32,1.7421978832244873,49.27884615384615,"tensor(1.1616e-10, device='cuda:0')",0.9783662119865417,70.23,0.9814939274787903,69.8,9.749693666068666e-05,8,1391.7967166900635,41.51291060447693,16766152704.0,264,4104.8583984375,484786.34375
33,1.7490778177261352,51.80288461538461,"tensor(1.1327e-10, device='cuda:0')",0.9758955572128296,70.53,0.9773894476890564,70.62,9.733963460294015e-05,8,1433.572921037674,41.6294219493866,17273610240.0,272,4104.91748046875,484783.28125
34,1.7273494886398315,48.79807692307692,"tensor(1.1287e-10, device='cuda:0')",0.9613045259475708,70.54,0.9634779490470886,70.44,9.717768952713513e-05,8,1475.410872220993,41.68743848800659,17781067776.0,280,4105.0126953125,484781.15625
35,1.708490891456604,54.6875,"tensor(1.1236e-10, device='cuda:0')",0.951806454372406,70.66,0.9489570354461669,71.03,9.701111919237408e-05,8,1517.2493600845337,41.69172978401184,18288525312.0,288,4105.138671875,484786.4375
36,1.7127012893676758,56.49038461538461,"tensor(1.1189e-10, device='cuda:0')",0.9487886720657349,71.7,0.9468575316429139,72.13,9.683994186497131e-05,8,1559.014217376709,41.58221387863159,18795982848.0,296,4105.20947265625,484783.96875
37,1.7170548862457276,49.63942307692308,"tensor(1.1067e-10, device='cuda:0')",0.9647001791954041,71.21,0.9636566628456116,71.39,9.666417631644977e-05,8,1600.8014347553253,41.63833260536194,19303440384.0,304,4105.30322265625,484785.8125
38,1.7104421730041504,48.91826923076923,"tensor(1.1006e-10, device='cuda:0')",0.9084279800415039,72.9,0.9110123131752014,72.79,9.648384182148252e-05,8,1642.5601835250854,41.60864853858948,19810897920.0,312,4105.3583984375,484780.21875
39,1.6995482498168946,54.44711538461539,"tensor(1.0921e-10, device='cuda:0')",0.9048137819290161,72.39,0.8998715938568115,72.87,9.629895815577916e-05,8,1684.1401691436768,41.43387031555176,20318355456.0,320,4105.49609375,484783.875
40,1.701615916442871,54.56730769230769,"tensor(1.0711e-10, device='cuda:0')",0.8945991076469422,72.79,0.9016930084228516,72.55,9.610954559391703e-05,8,1725.726836681366,41.43819236755371,20825812992.0,328,4105.5947265625,484782.875
41,1.699305927658081,57.33173076923077,"tensor(1.0612e-10, device='cuda:0')",0.9172723638534546,73.45,0.921477555179596,73.35,9.59156249071181e-05,8,1767.2196598052979,41.345279693603516,21333270528.0,336,4105.64697265625,484777.375
42,1.7015474180221557,52.40384615384615,"tensor(1.0621e-10, device='cuda:0')",0.9073652606010437,73.87,0.9066016710281372,73.91,9.571721736097089e-05,8,1808.852133512497,41.47544574737549,21840728064.0,344,4105.67431640625,484769.0625
43,1.6827580417633057,50.48076923076923,"tensor(1.0559e-10, device='cuda:0')",0.9005211607933045,73.84,0.9006381416320801,73.74,9.551434471309872e-05,8,1850.3437721729279,41.34235143661499,22348185600.0,352,4105.75830078125,484765.25
44,1.6792928255081176,60.9375,"tensor(1.0499e-10, device='cuda:0')",0.8606285838127137,74.92,0.8628043379783631,75.03,9.530702921077358e-05,8,1891.8152871131897,41.32455587387085,22855643136.0,360,4105.83935546875,484761.5
45,1.683205495262146,61.53846153846154,"tensor(1.0537e-10, device='cuda:0')",0.8812637719154358,74.01,0.8826358679771423,74.16,9.509529358847655e-05,8,1933.2754747867584,41.31127333641052,23363100672.0,368,4105.92529296875,484755.53125
46,1.672615926361084,52.04326923076923,"tensor(1.0425e-10, device='cuda:0')",0.8641351798057556,74.98,0.8696959812164307,74.46,9.487916106540466e-05,8,1974.7573857307434,41.335554361343384,23870558208.0,376,4106.01025390625,484758.03125
47,1.6748230489730835,49.27884615384615,"tensor(1.0408e-10, device='cuda:0')",0.8665373643875122,75.54,0.8628367350578308,75.37,9.465865534292465e-05,8,2016.3670766353607,41.461023807525635,24378015744.0,384,4106.02783203125,484748.78125
48,1.6596398565292358,60.09615384615385,"tensor(1.0347e-10, device='cuda:0')",0.8407903321266175,75.37,0.8433927284240723,75.1,9.443380060197386e-05,8,2057.866197824478,41.35272240638733,24885473280.0,392,4106.08837890625,484740.84375
49,1.6589412221908568,54.92788461538461,"tensor(1.0261e-10, device='cuda:0')",0.8445956283569336,75.63,0.8508720087051391,75.21,9.420462150040853e-05,8,2099.316202878952,41.30435562133789,25392930816.0,400,4106.12939453125,484729.9375
50,1.662356750869751,52.88461538461539,"tensor(1.0240e-10, device='cuda:0')",0.8285909122467041,74.92,0.8338709816932678,74.67,9.397114317029974e-05,8,2140.745923757553,41.28168058395386,25900388352.0,408,4106.16357421875,484716.875
51,1.6695247837066651,56.37019230769231,"tensor(1.0125e-10, device='cuda:0')",0.8349485321044922,76.51,0.8391332802772522,76.3,9.373339121517747e-05,8,2182.275277376175,41.38072466850281,26407845888.0,416,4106.19482421875,484706.03125
52,1.6489646236419677,61.05769230769231,"tensor(1.0082e-10, device='cuda:0')",0.797333847618103,77.19,0.8035763078689575,76.18,9.34913917072228e-05,8,2223.6791162490845,41.23626446723938,26915303424.0,424,4106.259765625,484700.0625
53,1.6483423204421996,50.0,"tensor(1.0009e-10, device='cuda:0')",0.811005224609375,76.9,0.8161884802818299,76.22,9.324517118440888e-05,8,2265.1563663482666,41.33045148849487,27422760960.0,432,4106.28466796875,484690.1875
54,1.6372036540985107,65.26442307692308,"tensor(9.9664e-11, device='cuda:0')",0.8068379209518433,76.52,0.8104884159088135,75.72,9.299475664759068e-05,8,2306.592782497406,41.29126524925232,27930218496.0,440,4106.31982421875,484680.75
55,1.642047047996521,56.85096153846154,"tensor(9.9701e-11, device='cuda:0')",0.8177812641143799,76.6,0.8213302478790283,76.19,9.274017555754408e-05,8,2348.0254805088043,41.28444576263428,28437676032.0,448,4106.35107421875,484670.9375
56,1.6283127223968505,47.71634615384615,"tensor(9.8885e-11, device='cuda:0')",0.795975592136383,77.56,0.7958609776496888,77.48,9.248145583195448e-05,8,2389.538246154785,41.36338257789612,28945133568.0,456,4106.41748046875,484664.375
57,1.6259701374053954,56.61057692307692,"tensor(9.7874e-11, device='cuda:0')",0.7821004520416259,77.71,0.7871053669929504,76.94,9.221862584235528e-05,8,2431.089912891388,41.405332803726196,29452591104.0,464,4106.4619140625,484657.5625
