epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1697242483139036,19.951923076923077,"tensor(3.1294e-11, device='cuda:0')",1.925984603881836,30.88,1.9219178241729737,30.82,1e-05,8,44.9004590511322,44.900455951690674,527511552.0,8,4101.2666015625,484911.15625
1,2.0960952714920045,25.60096153846154,"tensor(5.7699e-11, device='cuda:0')",1.7977914670944213,36.75,1.7936131645202638,37.13,1.9e-05,8,85.79024195671082,40.65051865577698,1034969088.0,16,4101.35302734375,484908.34375
2,2.066518790817261,29.6875,"tensor(7.9334e-11, device='cuda:0')",1.743195332145691,39.48,1.736115955734253,39.74,2.8000000000000003e-05,8,126.67005324363708,40.69052839279175,1542426624.0,24,4101.4013671875,484897.6875
3,2.0462673683166503,27.884615384615383,"tensor(9.7520e-11, device='cuda:0')",1.6806821756362915,41.21,1.673554354095459,41.61,3.7e-05,8,167.593031167984,40.713350772857666,2049884160.0,32,4101.45556640625,484887.53125
4,2.024764589691162,33.65384615384615,"tensor(1.1428e-10, device='cuda:0')",1.6348769645690917,43.88,1.6288144416809083,44.01,4.6e-05,8,208.455091714859,40.672688484191895,2557341696.0,40,4101.5029296875,484874.125
5,2.003383145904541,35.81730769230769,"tensor(1.2808e-10, device='cuda:0')",1.5729484100341797,46.28,1.5692190998077393,45.95,5.5e-05,8,249.3682792186737,40.718756437301636,3064799232.0,48,4101.56640625,484861.375
6,1.986660581588745,35.81730769230769,"tensor(1.3982e-10, device='cuda:0')",1.553469013595581,45.19,1.5479895441055298,45.16,6.4e-05,8,290.34505820274353,40.78812527656555,3572256768.0,56,4101.58935546875,484842.09375
7,1.9635028701782227,33.05288461538461,"tensor(1.5497e-10, device='cuda:0')",1.5224013481140137,48.18,1.5202293519973755,48.07,7.3e-05,8,331.1696379184723,40.63522911071777,4079714304.0,64,4101.65234375,484829.0625
8,1.9548222328186036,39.0625,"tensor(1.6425e-10, device='cuda:0')",1.4763222955703736,49.77,1.4734635482788085,50.3,8.2e-05,8,372.09659242630005,40.73879075050354,4587171840.0,72,4101.69677734375,484812.8125
9,1.9259566276550293,36.05769230769231,"tensor(1.7571e-10, device='cuda:0')",1.443468857383728,52.68,1.4424061519622802,52.25,9.1e-05,8,413.076842546463,40.78811430931091,5094629376.0,80,4101.7783203125,484800.90625
