epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1561229097366335,21.033653846153847,"tensor(2.2003e-11, device='cuda:0')",1.8977704877853394,31.58,1.8925407474517821,32.4,1e-05,16,70.81165409088135,70.8116512298584,1034969088.0,16,4101.1669921875,484895.90625
1,2.087701565361023,25.721153846153847,"tensor(4.0115e-11, device='cuda:0')",1.7738217464447021,37.5,1.7684136072158814,38.3,1.9e-05,16,131.95033526420593,60.07719397544861,2049884160.0,32,4101.115234375,484870.59375
2,2.059410897445679,31.490384615384617,"tensor(5.4581e-11, device='cuda:0')",1.710117586517334,40.55,1.7036672119140626,40.89,2.8000000000000003e-05,16,192.13621282577515,59.919023752212524,3064799232.0,48,4100.9677734375,484826.25
3,2.038816377067566,29.20673076923077,"tensor(6.6547e-11, device='cuda:0')",1.6494675811767578,42.66,1.642299875640869,43.55,3.7e-05,16,252.49913001060486,60.05371046066284,4079714304.0,64,4100.80078125,484775.75
4,2.0193784017562866,34.25480769230769,"tensor(7.7050e-11, device='cuda:0')",1.6099425743103026,44.68,1.6037221488952638,44.89,4.6e-05,16,312.79717659950256,60.06005024909973,5094629376.0,80,4100.56494140625,484714.8125
5,1.997769575691223,35.81730769230769,"tensor(8.5655e-11, device='cuda:0')",1.549387488746643,47.26,1.547155159187317,47.5,5.5e-05,16,373.05825543403625,60.0242555141449,6109544448.0,96,4100.3525390625,484651.59375
6,1.980765202331543,33.65384615384615,"tensor(9.2511e-11, device='cuda:0')",1.528183698272705,45.61,1.5265994478225708,46.22,6.4e-05,16,433.2945375442505,59.993226289749146,7124459520.0,112,4100.10400390625,484581.59375
7,1.9565699638366698,32.69230769230769,"tensor(1.0143e-10, device='cuda:0')",1.4943249185562133,49.27,1.4970973653793336,48.97,7.3e-05,16,493.5096769332886,59.978596925735474,8139374592.0,128,4099.89111328125,484515.71875
8,1.949790234375,39.18269230769231,"tensor(1.0764e-10, device='cuda:0')",1.4481653038024902,51.03,1.4508498430252075,51.45,8.2e-05,16,553.8139009475708,60.067365407943726,9154289664.0,144,4099.63134765625,484437.21875
9,1.9203410007476807,35.81730769230769,"tensor(1.1423e-10, device='cuda:0')",1.4156425109863282,53.39,1.4173293342590332,52.92,9.1e-05,16,614.0729920864105,60.016547203063965,10169204736.0,160,4099.46533203125,484375.5
10,1.9113373357772827,36.17788461538461,"tensor(1.1792e-10, device='cuda:0')",1.3749947933197022,54.09,1.3756559322357178,54.02,9.97534852915723e-05,16,674.2294011116028,59.91765594482422,11184119808.0,176,4099.2744140625,484304.28125
11,1.9012837551116943,42.06730769230769,"tensor(1.1067e-10, device='cuda:0')",1.3566259580612183,56.68,1.3600602447509766,56.29,9.970177445201784e-05,16,734.7409975528717,60.19934821128845,12199034880.0,192,4099.04052734375,484227.53125
12,1.9085833450317382,40.02403846153846,"tensor(1.0421e-10, device='cuda:0')",1.3352466619491576,57.81,1.3388850212097168,57.3,9.964516155915151e-05,16,795.2705163955688,60.29085683822632,13213949952.0,208,4098.79541015625,484150.28125
13,1.8953707138061524,41.82692307692308,"tensor(1.0047e-10, device='cuda:0')",1.3005216718673707,59.14,1.2996248510360717,59.11,9.958365282121497e-05,16,855.8667578697205,60.33609104156494,14228865024.0,224,4098.6728515625,484088.84375
14,1.8596030279159546,45.07211538461539,"tensor(9.8588e-11, device='cuda:0')",1.2168718284606934,59.52,1.2253852067947388,58.6,9.951725498333448e-05,16,916.3701121807098,60.26769757270813,15243780096.0,240,4098.5966796875,484037.28125
15,1.8666098907470703,42.54807692307692,"tensor(9.4125e-11, device='cuda:0')",1.2308630659103394,60.92,1.2412863307952882,60.39,9.94459753267812e-05,16,976.8972251415253,60.293882846832275,16258695168.0,256,4098.3642578125,483968.5625
16,1.8617618160247802,45.67307692307692,"tensor(9.0319e-11, device='cuda:0')",1.2120105321884156,60.92,1.2140682552337647,60.85,9.936982166817273e-05,16,1037.3724353313446,60.23694372177124,17273610240.0,272,4098.27294921875,483908.4375
17,1.836868786239624,43.50961538461539,"tensor(8.9709e-11, device='cuda:0')",1.166837832069397,61.16,1.1718379833221435,61.15,9.928880235861588e-05,16,1097.8975746631622,60.29051351547241,18288525312.0,288,4098.27490234375,483866.25
18,1.8214638271331787,40.98557692307692,"tensor(8.6973e-11, device='cuda:0')",1.1755421495437621,63.03,1.1829951545715331,62.14,9.9202926282791e-05,16,1158.4555370807648,60.31959390640259,19303440384.0,304,4098.1708984375,483811.875
19,1.800445906829834,46.03365384615385,"tensor(8.6199e-11, device='cuda:0')",1.1212575325965881,64.47,1.1296996217727662,64.01,9.911220285797748e-05,16,1218.6728065013885,59.98191165924072,20318355456.0,320,4098.1787109375,483767.09375
20,1.8052699447631837,45.07211538461539,"tensor(8.4458e-11, device='cuda:0')",1.1135021633148194,65.43,1.119536905479431,65.36,9.901664203302126e-05,16,1279.0186562538147,60.040693044662476,21333270528.0,336,4098.0517578125,483709.8125
21,1.7863250818252563,48.67788461538461,"tensor(8.2252e-11, device='cuda:0')",1.0615100019454955,66.4,1.0734846269607543,65.77,9.891625428724365e-05,16,1339.4821300506592,60.224491119384766,22348185600.0,352,4097.99365234375,483661.375
22,1.788626047706604,48.19711538461539,"tensor(8.0957e-11, device='cuda:0')",1.056458396244049,66.4,1.0668206397056579,65.58,9.881105062929222e-05,16,1399.8274722099304,60.10974478721619,23363100672.0,368,4097.984375,483615.21875
23,1.7635306755065918,50.48076923076923,"tensor(7.9754e-11, device='cuda:0')",1.0259724864959716,68.06,1.03188237991333,68.1,9.870104259593363e-05,16,1460.2504937648773,60.188496351242065,24378015744.0,384,4097.955078125,483568.625
24,1.7571422399520873,48.91826923076923,"tensor(7.7972e-11, device='cuda:0')",1.0184614234924316,68.56,1.0282267364501954,68.13,9.858624225078841e-05,16,1520.745182275772,60.25742149353027,25392930816.0,400,4097.8642578125,483512.25
25,1.7575728843688965,50.60096153846154,"tensor(7.7639e-11, device='cuda:0')",1.006369260787964,69.61,1.0192517086982726,69.28,9.846666218300807e-05,16,1581.1927251815796,60.20942664146423,26407845888.0,416,4097.748046875,483458.5625
26,1.751602025794983,50.72115384615385,"tensor(7.6575e-11, device='cuda:0')",0.9820868993759155,70.74,0.9886453667640686,70.84,9.834231550589462e-05,16,1641.6619613170624,60.225380659103394,27422760960.0,432,4097.7998046875,483427.96875
27,1.734489354133606,53.96634615384615,"tensor(7.4769e-11, device='cuda:0')",0.9516443426132202,70.74,0.9620192809104919,70.13,9.821321585546244e-05,16,1702.1171958446503,60.21990418434143,28437676032.0,448,4097.88134765625,483401.78125
28,1.7433554027557374,56.73076923076923,"tensor(7.3864e-11, device='cuda:0')",0.9654416162490844,70.61,0.9708629093170166,70.3,9.807937738894302e-05,16,1762.3886077404022,60.03283357620239,29452591104.0,464,4097.78125,483357.34375
29,1.7124372066497802,51.80288461538461,"tensor(7.3550e-11, device='cuda:0')",0.9144625589370727,71.64,0.9262695570945739,71.27,9.794081478323246e-05,16,1822.6255168914795,59.9283983707428,30467506176.0,480,4097.83203125,483324.84375
30,1.7127596460342407,52.52403846153846,"tensor(7.2589e-11, device='cuda:0')",0.9015706643104553,71.57,0.9095432481765747,71.9,9.779754323328192e-05,16,1882.8048017024994,59.94026565551758,31482421248.0,496,4097.80859375,483291.09375
31,1.7340076515197753,51.20192307692308,"tensor(7.0358e-11, device='cuda:0')",0.9198072982788086,72.48,0.9236202606201172,72.22,9.764957845043137e-05,16,1942.9682204723358,59.92544078826904,32497336320.0,512,4097.736328125,483247.71875
32,1.7031179487228394,55.40865384615385,"tensor(7.2350e-11, device='cuda:0')",0.9511524089813232,70.95,0.9625166749000549,70.63,9.749693666068666e-05,16,2003.1679265499115,59.93211889266968,33512251392.0,528,4097.708984375,483209.59375
33,1.7055849161148071,45.55288461538461,"tensor(6.9875e-11, device='cuda:0')",0.9509426767349243,71.46,0.9613582809448242,70.87,9.733963460294015e-05,16,2063.4729142189026,60.03851532936096,34527166464.0,544,4097.62060546875,483163.21875
34,1.691235676765442,54.08653846153846,"tensor(6.9945e-11, device='cuda:0')",0.8748731322288513,74.44,0.8825259505271912,73.78,9.717768952713513e-05,16,2123.8730974197388,60.16068196296692,35542081536.0,560,4097.5927734375,483125.0
35,1.678437855911255,60.69711538461539,"tensor(6.8936e-11, device='cuda:0')",0.8576677644729614,73.87,0.8648646697044372,73.9,9.701111919237408e-05,16,2184.321334838867,60.20940136909485,36556996608.0,576,4097.587890625,483087.0
36,1.6933477294921875,50.60096153846154,"tensor(6.8717e-11, device='cuda:0')",0.8700618253707886,74.44,0.8727630634307861,74.4,9.683994186497131e-05,16,2244.574253797531,60.01657199859619,37571911680.0,592,4097.505859375,483048.5
37,1.6670670364379883,50.72115384615385,"tensor(6.7240e-11, device='cuda:0')",0.8806906524658203,73.69,0.8850911872863769,73.08,9.666417631644977e-05,16,2305.0398840904236,60.132925271987915,38586826752.0,608,4097.42041015625,483008.625
38,1.6710283941268922,57.8125,"tensor(6.7786e-11, device='cuda:0')",0.8005405638694764,75.92,0.8090293836593628,75.54,9.648384182148252e-05,16,2365.229475736618,59.95483326911926,39601741824.0,624,4097.4150390625,482966.75
39,1.6656948268890381,59.85576923076923,"tensor(6.6550e-11, device='cuda:0')",0.8341337416648865,75.25,0.8358014619827271,75.42,9.629895815577916e-05,16,2425.4225594997406,59.95442986488342,40616656896.0,640,4097.29638671875,482919.1875
40,1.6670269357681275,51.32211538461539,"tensor(6.5427e-11, device='cuda:0')",0.8078954432487487,75.51,0.8120680906295776,75.58,9.610954559391703e-05,16,2485.663395881653,60.00167441368103,41631571968.0,656,4097.24267578125,482875.65625
41,1.6449255882263183,52.40384615384615,"tensor(6.6446e-11, device='cuda:0')",0.8329853960990906,75.9,0.8402216073989868,75.23,9.59156249071181e-05,16,2545.8903608322144,59.98278880119324,42646487040.0,672,4097.10986328125,482830.625
42,1.641977890777588,54.08653846153846,"tensor(6.5826e-11, device='cuda:0')",0.8146735214233398,76.94,0.8165920850753784,77.4,9.571721736097089e-05,16,2606.0759012699127,59.950764417648315,43661402112.0,688,4097.0810546875,482790.34375
