epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2096316711425783,17.067307692307693,"tensor(7.6387e-11, device='cuda:0')",2.0467889446258547,24.93,2.0456270013809204,24.79,1e-05,1,26.690032243728638,26.69002938270569,83486208.0,1,4101.3681640625,484931.1875
1,2.1467621641159056,22.115384615384617,"tensor(1.4529e-10, device='cuda:0')",1.9295983160018921,30.7,1.9266793565750122,30.84,1.9e-05,1,49.77975845336914,22.89148497581482,146918400.0,2,4101.64111328125,484952.96875
2,2.1033029106140138,26.802884615384617,"tensor(2.1039e-10, device='cuda:0')",1.8455722234725953,34.09,1.8409155363082885,34.77,2.8000000000000003e-05,1,72.76808500289917,22.824143409729004,210350592.0,3,4101.88525390625,484975.3125
3,2.0824371562957764,26.802884615384617,"tensor(2.7254e-10, device='cuda:0')",1.806954190826416,35.3,1.8015782503128053,36.41,3.7e-05,1,95.76804900169373,22.865557193756104,273782784.0,4,4102.06640625,484993.53125
4,2.0695680652618407,30.76923076923077,"tensor(3.3423e-10, device='cuda:0')",1.7795020824432373,37.64,1.7731536766052247,38.14,4.6e-05,1,118.79436326026917,22.874529361724854,337214976.0,5,4102.25927734375,485013.21875
5,2.057131911468506,30.408653846153847,"tensor(3.8079e-10, device='cuda:0')",1.7468220140457154,38.87,1.7383421197891236,39.72,5.5e-05,1,141.78808164596558,22.8670392036438,400647168.0,6,4102.4658203125,485034.71875
6,2.045294507980347,30.528846153846153,"tensor(4.2099e-10, device='cuda:0')",1.7436805751800537,38.33,1.738149167060852,39.06,6.4e-05,1,164.79432129859924,22.878767251968384,464079360.0,7,4102.67822265625,485057.53125
7,2.0275070472717287,31.129807692307693,"tensor(4.6833e-10, device='cuda:0')",1.701966957092285,40.95,1.6989645700454712,41.9,7.3e-05,1,187.78912782669067,22.864410877227783,527511552.0,8,4102.9423828125,485085.875
8,2.0228234355926515,34.375,"tensor(5.0798e-10, device='cuda:0')",1.6784466373443603,42.3,1.6768551761627197,42.51,8.2e-05,1,210.75060415267944,22.833507299423218,590943744.0,9,4103.18798828125,485113.125
9,2.0009257944107057,31.370192307692307,"tensor(5.5374e-10, device='cuda:0')",1.63664833278656,44.12,1.6321800228118897,44.54,9.1e-05,1,233.74105858802795,22.861015796661377,654375936.0,10,4103.44091796875,485142.6875
10,1.9952752086639405,31.610576923076923,"tensor(5.7777e-10, device='cuda:0')",1.6300074602127075,43.92,1.6231321586608887,44.5,9.97534852915723e-05,1,256.68676471710205,22.819692373275757,717808128.0,11,4103.662109375,485169.8125
11,1.989813136291504,35.9375,"tensor(5.5718e-10, device='cuda:0')",1.6085845956802367,45.2,1.6051276384353639,45.25,9.970177445201784e-05,1,279.64125633239746,22.822829723358154,781240320.0,12,4103.85595703125,485194.15625
12,1.9967584554672242,34.97596153846154,"tensor(5.3432e-10, device='cuda:0')",1.5957120262145996,46.94,1.5939856063842774,46.75,9.964516155915151e-05,1,302.6608238220215,22.8905827999115,844672512.0,13,4103.99658203125,485211.4375
13,1.992298337173462,35.45673076923077,"tensor(5.1748e-10, device='cuda:0')",1.5777531646728515,47.77,1.5744927665710449,47.91,9.958365282121497e-05,1,325.7711305618286,22.98216938972473,908104704.0,14,4104.14404296875,485230.84375
14,1.9653420883178712,35.09615384615385,"tensor(5.1714e-10, device='cuda:0')",1.55261648311615,47.5,1.5514326900482178,47.48,9.951725498333448e-05,1,348.6934084892273,22.792635917663574,971536896.0,15,4104.3359375,485255.71875
15,1.9743457864761353,36.77884615384615,"tensor(5.0143e-10, device='cuda:0')",1.5417679140090943,47.73,1.539304986000061,47.61,9.94459753267812e-05,1,371.6343767642975,22.810035467147827,1034969088.0,16,4104.47705078125,485272.09375
16,1.9728118165969848,34.375,"tensor(4.8534e-10, device='cuda:0')",1.5515597108840942,47.91,1.5477381608963012,47.82,9.936982166817273e-05,1,394.55741262435913,22.79241943359375,1098401280.0,17,4104.6083984375,485288.875
