epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.165974131202698,20.432692307692307,"tensor(1.6925e-11, device='cuda:0')",1.9237557903289795,31.07,1.9197079948425293,31.46,1e-05,16,66.0215334892273,66.02153062820435,1034969088.0,16,3327.535888671875,258663.0
1,2.1005281829833984,25.0,"tensor(3.1248e-11, device='cuda:0')",1.8074609554290773,35.98,1.8027105394363403,36.73,1.9e-05,16,127.68053460121155,61.32123422622681,2049884160.0,32,3327.432861328125,258639.171875
2,2.0726962436676026,28.60576923076923,"tensor(4.3430e-11, device='cuda:0')",1.7529843311309814,38.97,1.7469648571014404,39.25,2.8000000000000003e-05,16,189.32960891723633,61.4232759475708,3064799232.0,48,3327.2333984375,258604.109375
3,2.0535210802078248,28.846153846153847,"tensor(5.3080e-11, device='cuda:0')",1.7029194093704223,40.45,1.6953706720352173,40.77,3.7e-05,16,250.92197561264038,61.29897665977478,4079714304.0,64,3326.994873046875,258564.265625
4,2.037237003326416,34.13461538461539,"tensor(6.2874e-11, device='cuda:0')",1.6628434036254882,42.09,1.6552713548660278,42.94,4.6e-05,16,312.5089178085327,61.360541582107544,5094629376.0,80,3326.687744140625,258514.359375
5,2.017274633026123,34.375,"tensor(7.0256e-11, device='cuda:0')",1.6064653070449828,44.31,1.5976782697677612,45.32,5.5e-05,16,374.0452036857605,61.30979299545288,6109544448.0,96,3326.375732421875,258461.109375
6,2.002569732093811,32.93269230769231,"tensor(7.6905e-11, device='cuda:0')",1.6054475246429443,41.94,1.5987257381439208,42.25,6.4e-05,16,435.725604057312,61.454588651657104,7124459520.0,112,3325.98046875,258398.578125
7,1.9803377090454102,33.05288461538461,"tensor(8.4687e-11, device='cuda:0')",1.5420078912734985,46.77,1.5409507526397705,47.58,7.3e-05,16,497.54211926460266,61.591228723526,8139374592.0,128,3325.6884765625,258340.1875
8,1.9716228134155274,37.74038461538461,"tensor(8.9253e-11, device='cuda:0')",1.5100676958084107,48.41,1.5065475128173829,48.8,8.2e-05,16,559.3666212558746,61.598320722579956,9154289664.0,144,3325.334228515625,258278.234375
9,1.9427563653945923,33.89423076923077,"tensor(9.5060e-11, device='cuda:0')",1.4794598722457886,50.02,1.4776096502304077,50.18,9.1e-05,16,621.2481400966644,61.65613341331482,10169204736.0,160,3325.064208984375,258222.703125
