epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1087516578435896,27.125,"tensor(1.1240e-10, device='cuda:0')",1.7744778228759766,38.07,1.7648363064527512,37.94,1e-05,12,1032.067233324051,1032.0672299861908,781240320.0,12,3081.9130859375,364427.21875
1,2.0547932900846004,32.25,"tensor(1.7164e-10, device='cuda:0')",1.6768045566380023,41.44,1.668514859753847,42.02,1.9e-05,12,2056.0422971248627,1022.991373538971,1542426624.0,24,3075.525146484375,363321.75
2,2.0208199537307023,31.75,"tensor(2.0974e-10, device='cuda:0')",1.578487865549326,44.13,1.5651893882274628,45.02,2.8000000000000003e-05,12,3081.622574567795,1025.389770269394,2303612928.0,36,3065.5966796875,361617.0625
3,1.9911249631255865,36.625,"tensor(2.3502e-10, device='cuda:0')",1.5130757219672204,50.03,1.5076873214304447,50.07,3.7e-05,12,4104.5576276779175,1022.7397303581238,3064799232.0,48,3055.20361328125,359825.6875
4,1.9614118475824593,36.875,"tensor(2.5679e-10, device='cuda:0')",1.4118884893238544,52.38,1.4156420138135553,51.87,4.6e-05,12,5129.237237691879,1024.4459750652313,3825985536.0,60,3041.746337890625,357552.53125
5,1.939008880725503,39.375,"tensor(2.7189e-10, device='cuda:0')",1.3724762283086778,53.26,1.3788695137888194,53.18,5.5e-05,12,6154.785097837448,1025.3651711940765,4587171840.0,72,3027.760009765625,355244.34375
6,1.9144795482456685,42.75,"tensor(2.9051e-10, device='cuda:0')",1.32849473670125,55.98,1.3315976734280586,55.66,6.4e-05,12,7180.498610019684,1025.4581315517426,5348358144.0,84,3011.43212890625,352598.9375
7,1.890235182979703,43.25,"tensor(3.0585e-10, device='cuda:0')",1.284623463808,55.99,1.2904818817541004,55.93,7.3e-05,12,8205.140585184097,1024.455364704132,6109544448.0,96,2995.960693359375,350161.96875
8,1.8662053303956985,44.625,"tensor(3.2543e-10, device='cuda:0')",1.207824241143465,59.7,1.21549346209988,59.36,8.2e-05,12,9231.329507112503,1025.9980754852295,6870730752.0,108,2978.511962890625,347513.25
9,1.8487559605568646,44.125,"tensor(3.4268e-10, device='cuda:0')",1.2301516205772758,58.82,1.2376787067256867,58.34,9.1e-05,12,10255.886068820953,1024.371352672577,7631917056.0,120,2962.16943359375,345148.5
10,1.8286421575933696,45.125,"tensor(3.6023e-10, device='cuda:0')",1.1289883167132735,64.63,1.1313168134361506,64.42,9.97534852915723e-05,12,11283.068061113358,1026.998435974121,8393103360.0,132,2944.415771484375,342689.71875
11,1.8066933129280807,44.5,"tensor(3.4541e-10, device='cuda:0')",1.0726632843092083,66.79,1.0723232215613128,66.64,9.970177445201784e-05,12,12311.470695257187,1028.1988401412964,9154289664.0,144,2927.45654296875,340377.3125
12,1.7865237870693207,48.25,"tensor(3.2887e-10, device='cuda:0')",1.0395570385061204,66.47,1.0389597040932625,65.38,9.964516155915151e-05,12,13336.390386104584,1024.7380559444427,9915475968.0,156,2911.920654296875,338233.28125
13,1.771797002246976,52.625,"tensor(3.2168e-10, device='cuda:0')",0.9881350943233818,69.46,0.9942405555535108,69.16,9.958365282121497e-05,12,14360.23825955391,1023.6688477993011,10676662272.0,168,2896.510009765625,336180.5
14,1.7573796632170677,48.75,"tensor(3.1303e-10, device='cuda:0')",0.9324735137302429,71.0,0.9375490289559588,70.4,9.951725498333448e-05,12,15383.073940753937,1022.6500351428986,11437848576.0,180,2882.2373046875,334217.9375
15,1.7387716133028268,52.625,"tensor(3.0832e-10, device='cuda:0')",0.9300246265020221,72.08,0.9348185163460672,71.52,9.94459753267812e-05,12,16403.9251101017,1020.6052823066711,12199034880.0,192,2868.233642578125,332341.9375
16,1.7338292363971473,49.5,"tensor(2.9858e-10, device='cuda:0')",0.9408111808683723,71.92,0.9447667931120842,71.73,9.936982166817273e-05,12,17428.300989627838,1024.196608543396,12960221184.0,204,2855.2529296875,330565.34375
17,1.723116459095478,52.875,"tensor(2.9465e-10, device='cuda:0')",0.8921246588610112,72.55,0.8973439389009029,72.57,9.928880235861588e-05,12,18453.613737106323,1025.1307377815247,13721407488.0,216,2842.935546875,328872.21875
18,1.7142079036176205,54.625,"tensor(2.8803e-10, device='cuda:0')",0.8752866156317294,74.65,0.8777045879358426,74.61,9.9202926282791e-05,12,19476.06881761551,1022.2727560997009,14482593792.0,228,2831.10791015625,327266.25
19,1.7012691347748041,52.375,"tensor(2.8673e-10, device='cuda:0')",0.9079044043660164,73.57,0.9138923654453829,73.18,9.911220285797748e-05,12,20497.67715573311,1021.4091186523438,15243780096.0,240,2819.54296875,325673.6875
