epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1086659398764374,27.25,"tensor(1.1233e-10, device='cuda:0')",1.7746678735852242,37.94,1.7648096297860145,37.9,1e-05,12,1039.197960615158,1039.1979568004608,781240320.0,12,3081.91552734375,364427.46875
1,2.054795803925395,32.5,"tensor(1.7171e-10, device='cuda:0')",1.6775877438187599,41.56,1.6692490688443185,41.8,1.9e-05,12,2073.945018529892,1033.7932224273682,1542426624.0,24,3075.526611328125,363322.84375
2,2.0207272640407083,31.0,"tensor(2.0978e-10, device='cuda:0')",1.578654594618082,44.19,1.5654071077227592,44.93,2.8000000000000003e-05,12,3103.5477583408356,1028.9644041061401,2303612928.0,36,3065.5888671875,361616.4375
3,1.9910657835811376,37.125,"tensor(2.3500e-10, device='cuda:0')",1.512259767138958,49.95,1.5070138324260711,50.01,3.7e-05,12,4126.053457021713,1022.3288114070892,3064799232.0,48,3055.21240234375,359827.6875
4,1.9611855795145035,36.875,"tensor(2.5691e-10, device='cuda:0')",1.4130753754436969,52.3,1.4175007582515478,51.67,4.6e-05,12,5132.488248586655,1006.2612516880035,3825985536.0,60,3041.752685546875,357552.96875
5,1.9386478321790694,39.25,"tensor(2.7191e-10, device='cuda:0')",1.3689299973532558,53.53,1.3754095020219683,53.7,5.5e-05,12,6137.192762136459,1004.5241086483002,4587171840.0,72,3027.789306640625,355250.59375
6,1.914002270308137,41.875,"tensor(2.9046e-10, device='cuda:0')",1.3267279177710414,55.79,1.33005435603261,55.45,6.4e-05,12,7141.953350543976,1004.5209214687347,5348358144.0,84,3011.4697265625,352610.0
7,1.8898943707704543,43.625,"tensor(3.0573e-10, device='cuda:0')",1.2854760456860066,56.17,1.291585145446658,56.22,7.3e-05,12,8148.052748918533,1005.9195249080658,6109544448.0,96,2995.981689453125,350168.15625
8,1.865588109332323,44.125,"tensor(3.2559e-10, device='cuda:0')",1.2126650717511773,59.43,1.2205511870786547,59.34,8.2e-05,12,9154.94262599945,1006.7196006774902,6870730752.0,108,2978.507080078125,347515.6875
9,1.8488685263961553,44.875,"tensor(3.4296e-10, device='cuda:0')",1.2297685392532498,58.8,1.236513091723621,58.42,9.1e-05,12,10160.3725233078,1005.2544357776642,7631917056.0,120,2962.073486328125,345143.5625
10,1.8277922249525786,45.25,"tensor(3.6001e-10, device='cuda:0')",1.129349790917337,64.68,1.1300343348242343,64.62,9.97534852915723e-05,12,11166.445492267609,1005.901754617691,8393103360.0,132,2944.420166015625,342706.84375
11,1.8063701300472021,44.875,"tensor(3.4527e-10, device='cuda:0')",1.0756815862998366,66.69,1.074881231352687,66.82,9.970177445201784e-05,12,12171.74222111702,1005.1079223155975,9154289664.0,144,2927.356689453125,340386.40625
12,1.7859515831947326,49.25,"tensor(3.2937e-10, device='cuda:0')",1.0296546572044492,66.81,1.0285797609785572,65.85,9.964516155915151e-05,12,13177.185270547867,1005.2599589824677,9915475968.0,156,2911.8115234375,338242.40625
13,1.7710934854447842,52.375,"tensor(3.2164e-10, device='cuda:0')",0.9834982726443559,69.93,0.990798382172361,69.9,9.958365282121497e-05,12,14180.3479449749,1002.9910616874695,10676662272.0,168,2896.44384765625,336169.71875
14,1.7563390356838704,47.875,"tensor(3.1283e-10, device='cuda:0')",0.9287004636669531,71.0,0.9341453808542342,70.36,9.951725498333448e-05,12,15185.244438886642,1004.7255194187164,11437848576.0,180,2882.093994140625,334211.0625
15,1.7380353168666363,51.25,"tensor(3.0848e-10, device='cuda:0')",0.9347342252120375,71.94,0.9394226113528014,71.33,9.94459753267812e-05,12,16194.894276857376,1009.416341304779,12199034880.0,192,2867.9794921875,332315.96875
16,1.7342599776893854,48.5,"tensor(2.9990e-10, device='cuda:0')",0.9411811112511903,72.03,0.9439022601760924,71.91,9.936982166817273e-05,12,17203.938336610794,1008.8687932491302,12960221184.0,204,2854.814697265625,330535.09375
17,1.7230775174021722,52.875,"tensor(2.9535e-10, device='cuda:0')",0.8888693141140044,72.61,0.8965453987736255,72.47,9.928880235861588e-05,12,18212.172464609146,1008.0624775886536,13721407488.0,216,2842.534912109375,328845.53125
18,1.7137893719106914,53.375,"tensor(2.8855e-10, device='cuda:0')",0.877747292412445,74.47,0.8776147395847366,74.88,9.9202926282791e-05,12,19222.11867427826,1009.747104883194,14482593792.0,228,2830.686767578125,327237.46875
19,1.7013863897144794,52.0,"tensor(2.8786e-10, device='cuda:0')",0.9004611761413515,74.02,0.9052384870156646,73.59,9.911220285797748e-05,12,20228.277189016342,1005.9849381446838,15243780096.0,240,2819.20361328125,325668.03125
20,1.6977512578606606,54.5,"tensor(2.8351e-10, device='cuda:0')",0.8416021347746253,75.41,0.8397206884916871,75.48,9.901664203302126e-05,12,21236.226652622223,1007.7797558307648,16004966400.0,252,2808.2490234375,324170.59375
