epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.163524884796143,19.23076923076923,"tensor(2.4917e-11, device='cuda:0')",1.907249129295349,31.19,1.9021516506195069,31.58,1e-05,12,54.24132037162781,54.24131655693054,781240320.0,12,3085.877197265625,365120.6875
1,2.097884736061096,26.08173076923077,"tensor(4.6076e-11, device='cuda:0')",1.8141507383346558,36.45,1.8054965465545654,36.75,1.9e-05,12,104.90491724014282,50.413756132125854,1542426624.0,24,3085.8896484375,365103.71875
2,2.069865454864502,27.04326923076923,"tensor(6.2659e-11, device='cuda:0')",1.7288322662353515,39.49,1.720555553817749,39.79,2.8000000000000003e-05,12,155.61360812187195,50.533817291259766,2303612928.0,36,3085.80078125,365072.09375
3,2.0436714170455934,30.528846153846153,"tensor(7.7116e-11, device='cuda:0')",1.6886463813781738,42.19,1.6781594463348388,42.79,3.7e-05,12,206.29485201835632,50.508705139160156,3064799232.0,48,3085.7646484375,365042.71875
4,2.020781083869934,32.57211538461539,"tensor(8.8337e-11, device='cuda:0')",1.609838490486145,43.68,1.5946303388595582,44.53,4.6e-05,12,257.0732727050781,50.60443043708801,3825985536.0,60,3085.71630859375,365005.65625
5,1.9994026666641236,34.49519230769231,"tensor(1.0105e-10, device='cuda:0')",1.5655743766784669,45.11,1.554467113494873,45.84,5.5e-05,12,307.8468768596649,50.57333183288574,4587171840.0,72,3085.68212890625,364971.625
6,1.9905167734146119,34.13461538461539,"tensor(1.0980e-10, device='cuda:0')",1.550643761062622,46.97,1.5443061319351197,47.59,6.4e-05,12,358.5559425354004,50.53781795501709,5348358144.0,84,3085.509521484375,364921.03125
7,1.9713717765808105,31.971153846153847,"tensor(1.2095e-10, device='cuda:0')",1.5028853681564331,48.68,1.4928397294998168,48.92,7.3e-05,12,409.38144874572754,50.64783239364624,6109544448.0,96,3085.443115234375,364880.78125
8,1.9624282835006714,38.34134615384615,"tensor(1.2616e-10, device='cuda:0')",1.526554417037964,48.15,1.5173318521499635,48.22,8.2e-05,12,459.99437975883484,50.43672752380371,6870730752.0,108,3085.30126953125,364831.6875
9,1.9496385557174682,35.33653846153846,"tensor(1.3179e-10, device='cuda:0')",1.4410297922134399,52.08,1.4362790086746215,52.79,9.1e-05,12,510.71558141708374,50.54220724105835,7631917056.0,120,3085.2216796875,364788.34375
