epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1631843044281007,18.990384615384617,"tensor(2.4920e-11, device='cuda:0')",1.9070494388580321,31.07,1.9009749956130981,31.43,1e-05,12,57.69195914268494,57.69195628166199,781240320.0,12,3085.87646484375,365120.40625
1,2.0982296796798705,25.240384615384617,"tensor(4.6048e-11, device='cuda:0')",1.814422274208069,36.59,1.8051182876586913,36.72,1.9e-05,12,108.8233335018158,50.33717584609985,1542426624.0,24,3085.88916015625,365103.9375
2,2.0698298393249512,27.884615384615383,"tensor(6.2690e-11, device='cuda:0')",1.7286718399047851,39.6,1.7207944757461549,39.87,2.8000000000000003e-05,12,159.2160303592682,50.220436334609985,2303612928.0,36,3085.805419921875,365072.5625
3,2.0439250787734986,29.447115384615383,"tensor(7.7146e-11, device='cuda:0')",1.6870728950500489,42.06,1.676147455215454,42.91,3.7e-05,12,209.62089729309082,50.23291730880737,3064799232.0,48,3085.762939453125,365043.0625
4,2.020784303665161,32.45192307692308,"tensor(8.8434e-11, device='cuda:0')",1.611224856185913,43.81,1.5971145280838013,45.09,4.6e-05,12,260.1355826854706,50.34297180175781,3825985536.0,60,3085.716796875,365006.3125
5,1.9992826488494873,34.61538461538461,"tensor(1.0093e-10, device='cuda:0')",1.5631668237686158,45.23,1.5525014263153076,46.09,5.5e-05,12,310.65686678886414,50.35059881210327,4587171840.0,72,3085.688720703125,364973.34375
6,1.9904922761917114,34.61538461538461,"tensor(1.0944e-10, device='cuda:0')",1.552212685394287,46.99,1.5451231149673461,47.41,6.4e-05,12,361.1597671508789,50.33318567276001,5348358144.0,84,3085.517333984375,364922.34375
7,1.971155311393738,32.33173076923077,"tensor(1.2076e-10, device='cuda:0')",1.5036635803222655,48.29,1.4916632648468018,48.99,7.3e-05,12,411.62997341156006,50.298649311065674,6109544448.0,96,3085.4482421875,364881.53125
8,1.9617830390930175,38.94230769230769,"tensor(1.2598e-10, device='cuda:0')",1.5207059453964233,48.21,1.5125467861175537,48.37,8.2e-05,12,461.8423557281494,50.04280138015747,6870730752.0,108,3085.294921875,364830.09375
9,1.9497532497406005,34.13461538461539,"tensor(1.3166e-10, device='cuda:0')",1.443378433227539,52.03,1.4392487644195557,52.47,9.1e-05,12,512.1947939395905,50.182071685791016,7631917056.0,120,3085.1943359375,364786.84375
10,1.9236048147201539,36.89903846153846,"tensor(1.4073e-10, device='cuda:0')",1.385234788131714,53.28,1.3846323110580445,53.3,9.989038226169209e-05,12,562.8230113983154,50.45407462120056,8393103360.0,132,3085.17822265625,364750.3125
11,1.9041831649780274,37.37980769230769,"tensor(1.3308e-10, device='cuda:0')",1.370157822227478,56.06,1.3657338722229004,55.46,9.986737385021142e-05,12,613.4307615756989,50.44106197357178,9154289664.0,144,3085.1474609375,364714.25
12,1.891841704750061,39.30288461538461,"tensor(1.2674e-10, device='cuda:0')",1.3312051525115967,56.15,1.3341053323745728,56.1,9.98421786662277e-05,12,664.0206043720245,50.42077970504761,9915475968.0,156,3085.135986328125,364675.71875
13,1.8918664087295531,43.87019230769231,"tensor(1.2078e-10, device='cuda:0')",1.2800553548812865,57.73,1.2868555919647218,57.22,9.981479793771867e-05,12,714.6177988052368,50.42826771736145,10676662272.0,168,3085.0185546875,364629.34375
14,1.8664631982803346,38.10096153846154,"tensor(1.1789e-10, device='cuda:0')",1.2564258628845215,58.05,1.2594880672454833,57.83,9.97852329991824e-05,12,765.2078545093536,50.42204761505127,11437848576.0,180,3085.0361328125,364596.6875
15,1.8540905641555787,41.70673076923077,"tensor(1.1575e-10, device='cuda:0')",1.2538530460357666,59.74,1.2609855278015136,59.54,9.97534852915723e-05,12,815.6719212532043,50.294384479522705,12199034880.0,192,3084.974609375,364560.9375
16,1.8506182050704956,42.06730769230769,"tensor(1.1174e-10, device='cuda:0')",1.23899916305542,60.31,1.2429908948898316,60.1,9.971955636222684e-05,12,866.2388107776642,50.39867901802063,12960221184.0,204,3084.892578125,364519.1875
17,1.8223591953277587,45.55288461538461,"tensor(1.0980e-10, device='cuda:0')",1.1637838642120362,62.95,1.171513394165039,62.43,9.968344786479416e-05,12,916.8233118057251,50.414509773254395,13721407488.0,216,3084.950439453125,364493.59375
18,1.8377557865142822,43.38942307692308,"tensor(1.0576e-10, device='cuda:0')",1.1896107048034668,62.62,1.199959487915039,61.98,9.964516155915151e-05,12,967.4605302810669,50.468626499176025,14482593792.0,228,3084.869140625,364453.09375
