epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.163214984512329,18.629807692307693,"tensor(2.4936e-11, device='cuda:0')",1.906646374130249,31.22,1.9014307022094727,31.3,1e-05,12,54.69627046585083,54.69626712799072,781240320.0,12,3085.878662109375,365120.65625
1,2.097937959098816,25.48076923076923,"tensor(4.6050e-11, device='cuda:0')",1.8138001653671265,36.52,1.8043034294128417,36.61,1.9e-05,12,105.32976222038269,50.40966820716858,1542426624.0,24,3085.896240234375,365104.125
2,2.0697777206420898,27.52403846153846,"tensor(6.2597e-11, device='cuda:0')",1.7270824445724486,39.6,1.720039302444458,39.88,2.8000000000000003e-05,12,156.0689001083374,50.567232847213745,2303612928.0,36,3085.81201171875,365072.6875
3,2.04343685092926,29.447115384615383,"tensor(7.7007e-11, device='cuda:0')",1.6893302017211913,42.16,1.6781640867233276,42.75,3.7e-05,12,206.59060096740723,50.34862518310547,3064799232.0,48,3085.77587890625,365043.3125
4,2.021084076690674,31.971153846153847,"tensor(8.8395e-11, device='cuda:0')",1.6116843358993531,44.31,1.5976331478118897,44.85,4.6e-05,12,257.130229473114,50.36515522003174,3825985536.0,60,3085.72509765625,365006.21875
5,1.999581077194214,34.73557692307692,"tensor(1.0099e-10, device='cuda:0')",1.5653203607559205,44.98,1.5530985445022583,45.98,5.5e-05,12,307.67457818984985,50.37144947052002,4587171840.0,72,3085.68603515625,364972.875
6,1.990170002746582,34.85576923076923,"tensor(1.0971e-10, device='cuda:0')",1.550922546005249,47.08,1.5428433757781983,47.74,6.4e-05,12,358.209436416626,50.36239814758301,5348358144.0,84,3085.513671875,364923.0
7,1.9714791854858398,32.93269230769231,"tensor(1.2076e-10, device='cuda:0')",1.5003737403869628,48.47,1.4885882902145386,49.02,7.3e-05,12,408.8440797328949,50.38778281211853,6109544448.0,96,3085.455078125,364883.25
8,1.9621665733337403,37.86057692307692,"tensor(1.2565e-10, device='cuda:0')",1.5198006635665893,47.82,1.5122524990081787,47.99,8.2e-05,12,459.3890838623047,50.373324394226074,6870730752.0,108,3085.3017578125,364831.625
9,1.9499470258712768,34.85576923076923,"tensor(1.3163e-10, device='cuda:0')",1.4431573570251466,52.05,1.439798134613037,52.32,9.1e-05,12,509.9792788028717,50.41688346862793,7631917056.0,120,3085.2138671875,364787.90625
10,1.923865884399414,37.98076923076923,"tensor(1.4077e-10, device='cuda:0')",1.3873417432785033,53.17,1.3861559511184693,53.44,9.989038226169209e-05,12,560.5509774684906,50.39867091178894,8393103360.0,132,3085.197998046875,364751.34375
11,1.9040838886260987,36.29807692307692,"tensor(1.3307e-10, device='cuda:0')",1.374055408859253,55.77,1.3675972927093505,55.7,9.986737385021142e-05,12,611.060051202774,50.337265968322754,9154289664.0,144,3085.16943359375,364715.6875
12,1.8922881904602051,39.18269230769231,"tensor(1.2668e-10, device='cuda:0')",1.3344027639389038,56.47,1.335817650413513,55.9,9.98421786662277e-05,12,661.5108506679535,50.20626521110535,9915475968.0,156,3085.158935546875,364676.65625
13,1.8913666353225709,43.62980769230769,"tensor(1.2056e-10, device='cuda:0')",1.2796169149398804,57.59,1.2859256366729737,57.38,9.981479793771867e-05,12,711.9624502658844,50.27838945388794,10676662272.0,168,3085.044921875,364631.21875
