epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1632681007385255,18.75,"tensor(2.4974e-11, device='cuda:0')",1.9072200119018554,31.09,1.9019033443450928,31.39,1e-05,12,61.28272247314453,61.28271842002869,781240320.0,12,3085.873046875,365120.375
1,2.098056109237671,25.48076923076923,"tensor(4.6142e-11, device='cuda:0')",1.8130356271743775,36.76,1.8037124345779418,36.55,1.9e-05,12,112.58076190948486,50.129541635513306,1542426624.0,24,3085.88818359375,365103.65625
2,2.0696589715957643,27.283653846153847,"tensor(6.2821e-11, device='cuda:0')",1.728572307777405,39.67,1.7210706466674806,39.92,2.8000000000000003e-05,12,162.92633771896362,50.15474820137024,2303612928.0,36,3085.806396484375,365072.5625
3,2.043596571350098,30.408653846153847,"tensor(7.7246e-11, device='cuda:0')",1.6878395858764648,42.19,1.6770602989196777,42.45,3.7e-05,12,213.49437975883484,50.378907203674316,3064799232.0,48,3085.76904296875,365042.71875
4,2.021320080947876,32.21153846153846,"tensor(8.8438e-11, device='cuda:0')",1.6118036869049073,44.12,1.5967454809188844,44.98,4.6e-05,12,264.09869718551636,50.42892384529114,3825985536.0,60,3085.718994140625,365006.03125
5,1.9997865505218506,35.57692307692308,"tensor(1.0111e-10, device='cuda:0')",1.5643521394729614,45.08,1.5517136110305787,46.11,5.5e-05,12,314.64670634269714,50.36874985694885,4587171840.0,72,3085.69140625,364973.59375
6,1.9904338665008545,34.01442307692308,"tensor(1.0975e-10, device='cuda:0')",1.5525485055923463,46.85,1.545913341140747,47.61,6.4e-05,12,364.94771361351013,50.1281955242157,5348358144.0,84,3085.522216796875,364922.71875
7,1.9708763408660888,32.69230769230769,"tensor(1.2110e-10, device='cuda:0')",1.5046187870025636,48.58,1.4942457889556884,49.15,7.3e-05,12,415.2782804965973,50.15118408203125,6109544448.0,96,3085.46240234375,364882.96875
8,1.9620994710922242,38.34134615384615,"tensor(1.2602e-10, device='cuda:0')",1.5228338960647583,47.99,1.5152074081420899,47.88,8.2e-05,12,465.519823551178,50.064642667770386,6870730752.0,108,3085.309814453125,364831.15625
9,1.9493616895675658,35.09615384615385,"tensor(1.3161e-10, device='cuda:0')",1.4424388317108154,52.33,1.4384100978851317,52.71,9.1e-05,12,515.9223539829254,50.21992588043213,7631917056.0,120,3085.222412109375,364788.375
10,1.9240444610595704,36.77884615384615,"tensor(1.4077e-10, device='cuda:0')",1.3862359590530395,52.98,1.3842628059387208,53.1,9.989038226169209e-05,12,566.3486230373383,50.2101309299469,8393103360.0,132,3085.197265625,364751.9375
11,1.904016899871826,36.53846153846154,"tensor(1.3292e-10, device='cuda:0')",1.3740523803710938,55.64,1.3682511505126953,55.2,9.986737385021142e-05,12,616.7728588581085,50.22767424583435,9154289664.0,144,3085.177490234375,364715.78125
12,1.892223154258728,39.18269230769231,"tensor(1.2654e-10, device='cuda:0')",1.3297459964752196,56.33,1.3326793733596802,55.94,9.98421786662277e-05,12,667.2565536499023,50.3110249042511,9915475968.0,156,3085.171142578125,364676.90625
13,1.8916711177825927,43.62980769230769,"tensor(1.2081e-10, device='cuda:0')",1.2844686475753784,57.43,1.2903489929199219,57.31,9.981479793771867e-05,12,717.8080720901489,50.378474950790405,10676662272.0,168,3085.056396484375,364633.28125
14,1.8662204244613647,38.70192307692308,"tensor(1.1776e-10, device='cuda:0')",1.2598786384582519,58.2,1.2623981800079345,58.11,9.97852329991824e-05,12,768.3348071575165,50.354286670684814,11437848576.0,180,3085.083251953125,364602.9375
15,1.8539986217498778,42.1875,"tensor(1.1561e-10, device='cuda:0')",1.2485652460098267,59.38,1.2539187002182006,59.55,9.97534852915723e-05,12,818.766318321228,50.25559735298157,12199034880.0,192,3085.01904296875,364568.96875
16,1.8502166246414185,42.06730769230769,"tensor(1.1162e-10, device='cuda:0')",1.2420090600967406,60.45,1.2464478355407715,60.17,9.971955636222684e-05,12,869.3260183334351,50.37152433395386,12960221184.0,204,3084.9267578125,364526.125
17,1.822032233810425,45.07211538461539,"tensor(1.0981e-10, device='cuda:0')",1.164150233078003,62.72,1.173668098449707,62.68,9.968344786479416e-05,12,919.9089598655701,50.40457105636597,13721407488.0,216,3084.98681640625,364504.3125
18,1.8372536691665649,42.66826923076923,"tensor(1.0586e-10, device='cuda:0')",1.186726595211029,62.3,1.197614602470398,62.09,9.964516155915151e-05,12,970.458240032196,50.36299514770508,14482593792.0,228,3084.90283203125,364462.625
19,1.8236191707611085,50.72115384615385,"tensor(1.0350e-10, device='cuda:0')",1.1671717460632325,63.47,1.1765623744010925,63.42,9.960469931131939e-05,12,1020.9945151805878,50.36576461791992,15243780096.0,240,3084.80712890625,364422.28125
20,1.7861810548782349,48.55769230769231,"tensor(1.0408e-10, device='cuda:0')",1.1178079915046693,64.87,1.124784723854065,64.56,9.956206309337068e-05,12,1071.5907244682312,50.42589712142944,16004966400.0,252,3084.93994140625,364403.09375
