epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2118292949676515,2.056979496002197,23.72,79.63,1e-05,inf,22.075348615646362,22.075345993041992,inf,inf,"tensor(282.4833, device='cuda:0')","tensor(34903.8594, device='cuda:0')"
1,2.1512662425994873,1.9645650650024413,29.89,82.63,1.9e-05,inf,41.80532240867615,19.649672269821167,inf,inf,"tensor(282.7588, device='cuda:0')","tensor(34926.2500, device='cuda:0')"
2,2.1149294208526612,1.8848574060440064,32.94,85.76,2.8000000000000003e-05,inf,61.490373373031616,19.56931209564209,inf,inf,"tensor(283.0598, device='cuda:0')","tensor(34953.5938, device='cuda:0')"
3,2.0879825649261474,1.827927369117737,35.8,86.84,3.7e-05,inf,81.130286693573,19.61364197731018,inf,inf,"tensor(283.2893, device='cuda:0')","tensor(34977.3125, device='cuda:0')"
4,2.0671617193222045,1.7811435804367066,37.11,87.06,4.6e-05,inf,100.77335381507874,19.61493754386902,inf,inf,"tensor(283.4873, device='cuda:0')","tensor(34998.2070, device='cuda:0')"
5,2.052201741027832,1.7518479402542115,39.08,88.31,5.5e-05,inf,120.37395596504211,19.57466721534729,inf,inf,"tensor(283.6949, device='cuda:0')","tensor(35019.8438, device='cuda:0')"
6,2.0431470436096193,1.7339421924591065,38.24,88.7,6.4e-05,inf,140.03255009651184,19.631680011749268,inf,inf,"tensor(283.9083, device='cuda:0')","tensor(35043.0547, device='cuda:0')"
7,2.0353605497360228,1.7059731746673583,41.24,89.68,7.3e-05,inf,159.66556406021118,19.608015775680542,inf,inf,"tensor(284.1211, device='cuda:0')","tensor(35066.5234, device='cuda:0')"
8,2.0297407329559327,1.6681872459411622,42.26,89.86,8.2e-05,inf,179.26323008537292,19.571897983551025,inf,inf,"tensor(284.3397, device='cuda:0')","tensor(35090.8828, device='cuda:0')"
9,2.011470034980774,1.6464708234786987,43.96,90.54,9.1e-05,inf,198.86669278144836,19.578502893447876,inf,inf,"tensor(284.5575, device='cuda:0')","tensor(35116.1797, device='cuda:0')"
10,2.0038887687683107,1.6455043340682984,44.43,90.12,9.97534852915723e-05,inf,218.48680567741394,19.594218015670776,inf,inf,"tensor(284.7759, device='cuda:0')","tensor(35142.9727, device='cuda:0')"
11,1.9952842676162719,1.6116031293869018,44.81,91.07,9.970177445201784e-05,inf,238.04297137260437,19.531523942947388,inf,inf,"tensor(285.0008, device='cuda:0')","tensor(35168.7930, device='cuda:0')"
12,1.9832286500930787,1.578412268257141,46.81,91.51,9.964516155915151e-05,inf,257.5924527645111,19.52434754371643,inf,inf,"tensor(285.1840, device='cuda:0')","tensor(35192.1328, device='cuda:0')"
13,1.9797108467102051,1.594436676979065,46.74,92.0,9.958365282121497e-05,inf,277.1512427330017,19.5343074798584,inf,inf,"tensor(285.3344, device='cuda:0')","tensor(35211.4570, device='cuda:0')"
14,1.9752320405960082,1.5443345571517944,48.12,92.24,9.951725498333448e-05,inf,296.7425756454468,19.566914558410645,inf,inf,"tensor(285.5044, device='cuda:0')","tensor(35232.7188, device='cuda:0')"
15,1.9683825429916382,1.5419563798904419,48.2,91.99,9.94459753267812e-05,inf,316.3366894721985,19.569357872009277,inf,inf,"tensor(285.6615, device='cuda:0')","tensor(35253.1133, device='cuda:0')"
16,1.9606411279678344,1.5324441400527955,49.53,92.85,9.936982166817273e-05,inf,335.9008433818817,19.53840446472168,inf,inf,"tensor(285.7869, device='cuda:0')","tensor(35269.1797, device='cuda:0')"
17,1.9595061517715453,1.504593758392334,49.95,92.72,9.928880235861588e-05,inf,355.5022358894348,19.576890468597412,inf,inf,"tensor(285.9336, device='cuda:0')","tensor(35288.2461, device='cuda:0')"
18,1.9456963033676147,1.488032724571228,49.3,92.58,9.9202926282791e-05,inf,375.0624589920044,19.512697219848633,inf,inf,"tensor(286.0897, device='cuda:0')","tensor(35307.0117, device='cuda:0')"
19,1.9416405069351197,1.491691330718994,50.17,92.44,9.911220285797748e-05,inf,394.5494074821472,19.463098287582397,inf,inf,"tensor(286.2208, device='cuda:0')","tensor(35323.9688, device='cuda:0')"
20,1.9379567701339722,1.491271413230896,49.85,92.04,9.901664203302126e-05,inf,414.00991797447205,19.43525743484497,inf,inf,"tensor(286.3399, device='cuda:0')","tensor(35339.6836, device='cuda:0')"
