epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2338599815024986,"tensor(15.4762, device='cuda:0')","tensor(1.3362e-11, device='cuda:0')",2.0616330029296877,24.026001075439453,2.0592085983276367,24.11000101928711,1e-05,8,35.76594543457031,35.76594281196594,527511552.0,8,2066.861083984375,245055.5625
1,2.1494714494224065,"tensor(20.3869, device='cuda:0')","tensor(2.4457e-11, device='cuda:0')",1.9245027332305908,31.200001384277343,1.9201474105834961,31.99000169067383,1.9e-05,8,67.90988683700562,31.965805768966675,1034969088.0,16,2066.961181640625,245059.53125
2,2.1154718774932997,"tensor(26.1905, device='cuda:0')","tensor(3.5062e-11, device='cuda:0')",1.8562719981765747,35.65200176147461,1.8497165073394775,35.940001403808594,2.8000000000000003e-05,8,99.91539430618286,31.871628761291504,1542426624.0,24,2067.06884765625,245064.65625
3,2.0737042040438265,"tensor(33.1101, device='cuda:0')","tensor(4.7565e-11, device='cuda:0')",1.7679693272399903,37.830001651611326,1.761904864692688,38.28000166015625,3.7e-05,8,131.948561668396,31.879042625427246,2049884160.0,32,2067.229248046875,245074.171875
4,2.049617155178173,"tensor(25.7440, device='cuda:0')","tensor(5.7398e-11, device='cuda:0')",1.7232545425796508,39.35200158935547,1.7189759704589844,39.640001684570315,4.6e-05,8,163.9538824558258,31.88463306427002,2557341696.0,40,2067.3857421875,245084.4375
5,2.0427066044764475,"tensor(26.1161, device='cuda:0')","tensor(6.7232e-11, device='cuda:0')",1.6917977188110351,40.16000155395508,1.686049328994751,40.42000205688477,5.5e-05,8,196.00683736801147,31.93172335624695,3064799232.0,48,2067.563232421875,245098.015625
6,2.0261644264599226,"tensor(27.1577, device='cuda:0')","tensor(7.7187e-11, device='cuda:0')",1.6668361169433594,42.928001821289065,1.6635198198318482,43.07000217285156,6.4e-05,8,228.14124059677124,32.00455713272095,3572256768.0,56,2067.7470703125,245111.703125
7,2.0059860235935933,"tensor(28.4226, device='cuda:0')","tensor(8.8762e-11, device='cuda:0')",1.6006737295913696,44.30600179199219,1.59858984375,44.410002014160156,7.3e-05,8,260.13888812065125,31.878052473068237,4079714304.0,64,2067.98046875,245131.015625
8,1.9977470153086894,"tensor(29.3899, device='cuda:0')","tensor(9.2914e-11, device='cuda:0')",1.5833925387954713,44.77000209594726,1.583825280380249,45.12000216064453,8.2e-05,8,292.09138655662537,31.83258605003357,4587171840.0,72,2068.186279296875,245149.46875
9,1.9969835732434247,"tensor(28.3482, device='cuda:0')","tensor(1.0144e-10, device='cuda:0')",1.54658654132843,46.864002017822266,1.5470721353530883,46.880002087402346,9.1e-05,8,324.0231955051422,31.812915325164795,5094629376.0,80,2068.418701171875,245169.234375
10,1.9913784759538669,"tensor(38.3185, device='cuda:0')","tensor(1.0560e-10, device='cuda:0')",1.5584334120178223,48.474002127685544,1.5622531034469604,48.70000221557617,9.97534852915723e-05,8,355.95521235466003,31.81156086921692,5602086912.0,88,2068.647705078125,245190.5
11,1.9596381337793023,"tensor(41.4435, device='cuda:0')","tensor(1.0663e-10, device='cuda:0')",1.4937818365097046,49.22600224243164,1.4976683614730835,49.18000236816406,9.970177445201784e-05,8,387.83649349212646,31.73719811439514,6109544448.0,96,2068.88232421875,245212.578125
12,1.9305311666952598,"tensor(35.4167, device='cuda:0')","tensor(1.0379e-10, device='cuda:0')",1.437872562866211,50.86400222290039,1.4468948413848877,50.78000234375,9.964516155915151e-05,8,419.71069836616516,31.7283034324646,6617001984.0,104,2069.143310546875,245235.859375
13,1.9488480993219324,"tensor(35.6399, device='cuda:0')","tensor(9.7489e-11, device='cuda:0')",1.46308279586792,51.52400216552734,1.4702486087799072,51.53000240478516,9.958365282121497e-05,8,451.55831241607666,31.72539973258972,7124459520.0,112,2069.339111328125,245252.640625
14,1.9436244169871013,"tensor(26.2649, device='cuda:0')","tensor(9.6535e-11, device='cuda:0')",1.4506929104995727,51.932002429199215,1.4577975984573364,51.74000161743164,9.951725498333448e-05,8,483.4721622467041,31.794996738433838,7631917056.0,120,2069.540771484375,245269.203125
15,1.928100216496098,"tensor(42.0387, device='cuda:0')","tensor(9.6767e-11, device='cuda:0')",1.3944515839767455,53.804002258300784,1.4063785270690918,53.25000248413086,9.94459753267812e-05,8,515.3600153923035,31.766754627227783,8139374592.0,128,2069.75830078125,245288.09375
16,1.9231943761980212,"tensor(40.1786, device='cuda:0')","tensor(9.3192e-11, device='cuda:0')",1.3773572415924071,52.95400260742188,1.387760327911377,53.04000194702149,9.936982166817273e-05,8,547.3532874584198,31.874374866485596,8646832128.0,136,2069.947265625,245304.359375
17,1.8753762556625917,"tensor(35.2679, device='cuda:0')","tensor(9.7888e-11, device='cuda:0')",1.3491302549362183,54.36800244995117,1.3629967803955079,53.63000257568359,9.928880235861588e-05,8,579.3524973392487,31.88082242012024,9154289664.0,144,2070.2021484375,245327.546875
18,1.9020524400848526,"tensor(46.5030, device='cuda:0')","tensor(inf, device='cuda:0')",1.3455845406723022,55.74200268676758,1.3558640689849855,55.49000269165039,9.9202926282791e-05,8,611.3615012168884,31.885982036590576,9661747200.0,152,2070.3564453125,245339.921875
19,1.9061694907712508,"tensor(40.4762, device='cuda:0')","tensor(9.2071e-11, device='cuda:0')",1.336511455154419,55.55800253295899,1.3552326948165894,54.68000288696289,9.911220285797748e-05,8,643.2996144294739,31.8203284740448,10169204736.0,160,2070.525390625,245354.640625
20,1.8825939152691815,"tensor(44.8661, device='cuda:0')","tensor(9.0502e-11, device='cuda:0')",1.3329990753173828,55.526002484130856,1.3460083469390869,54.99000319213867,9.901664203302126e-05,8,675.2818949222565,31.838914155960083,10676662272.0,168,2070.72509765625,245373.140625
21,1.8689000219912142,"tensor(41.4435, device='cuda:0')","tensor(9.1226e-11, device='cuda:0')",1.2897714184570312,56.08400256958008,1.304825640296936,55.620002423095706,9.891625428724365e-05,8,707.258975982666,31.85818862915039,11184119808.0,176,2070.898193359375,245389.0
22,1.8633349435823459,"tensor(42.3363, device='cuda:0')","tensor(8.9004e-11, device='cuda:0')",1.2827604819488525,57.30400261352539,1.2962960725784303,56.970002575683594,9.881105062929222e-05,8,739.4389350414276,32.06056833267212,11691577344.0,184,2071.07470703125,245403.984375
23,1.8562832684130282,"tensor(38.6161, device='cuda:0')","tensor(8.9489e-11, device='cuda:0')",1.2815336615753175,58.34200268676758,1.2969479385375977,58.45000297241211,9.870104259593363e-05,8,771.4270250797272,31.868553638458252,12199034880.0,192,2071.22607421875,245417.75
24,1.8788920608726707,"tensor(47.8423, device='cuda:0')","tensor(8.5137e-11, device='cuda:0')",1.296499775390625,58.012002492675784,1.3105380195617675,57.53000263671875,9.858624225078841e-05,8,803.4007623195648,31.82705044746399,12706492416.0,200,2071.369140625,245429.109375
25,1.8469531396487813,"tensor(47.9167, device='cuda:0')","tensor(8.5683e-11, device='cuda:0')",1.242638398246765,59.05000268188476,1.2597147785186769,58.54000247192383,9.846666218300807e-05,8,835.28875041008,31.766244888305664,13213949952.0,208,2071.578369140625,245447.0
26,1.864565222112982,"tensor(41.8899, device='cuda:0')","tensor(8.4725e-11, device='cuda:0')",1.2397811335372926,59.11800275268555,1.2600231426239015,58.15000344238281,9.834231550589462e-05,8,867.2335362434387,31.82254981994629,13721407488.0,216,2071.71630859375,245460.625
27,1.9057755846161026,"tensor(48.9583, device='cuda:0')","tensor(8.1145e-11, device='cuda:0')",1.2631345790100097,59.22000265136719,1.2817975067138672,58.52000276489258,9.821321585546244e-05,8,899.0569136142731,31.704304933547974,14228865024.0,224,2071.802734375,245466.640625
28,1.8294932154921797,"tensor(42.4107, device='cuda:0')","tensor(8.2092e-11, device='cuda:0')",1.2274209853363036,60.888002696533206,1.2494054489135742,60.56000268554688,9.807937738894302e-05,8,931.0464007854462,31.870663166046143,14736322560.0,232,2072.00634765625,245484.828125
