epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,4.496309145122555,"tensor(3.3482, device='cuda:0')","tensor(1.1340e-11, device='cuda:0')",4.314891760113036,5.195400007795473,4.340693194580078,4.780000260162353,1e-05,16,508.0182828903198,508.0182807445526,1034969088.0,16,4102.18994140625,484802.9375
1,4.423667878969341,"tensor(5.4315, device='cuda:0')","tensor(2.2556e-11, device='cuda:0')",4.182377445754148,7.918604223073639,4.223794954681397,6.840000313949585,1.9e-05,16,762.8857500553131,254.48758220672607,2049884160.0,32,4102.65185546875,484833.75
2,4.365312202602413,"tensor(5.6548, device='cuda:0')","tensor(3.1793e-11, device='cuda:0')",4.0270422089931595,10.165839629351158,4.081706747436524,9.340000387573243,2.8000000000000003e-05,16,1022.3669028282166,259.2458002567291,3064799232.0,48,4103.2568359375,484880.0
3,4.32496418682396,"tensor(8.4821, device='cuda:0')","tensor(3.8935e-11, device='cuda:0')",3.923694818743597,11.975783776854533,3.9856535095214842,10.540000629615784,3.7e-05,16,1276.9932038784027,254.39067387580872,4079714304.0,64,4103.8984375,484928.25
4,4.2590088692117245,"tensor(8.7426, device='cuda:0')","tensor(4.7182e-11, device='cuda:0')",3.7995535855282396,13.83466660778526,3.870658396911621,12.840000589752197,4.6e-05,16,1531.879460811615,254.64996457099915,5094629376.0,80,4104.74560546875,484994.9375
5,4.218780883660553,"tensor(10.9375, device='cuda:0')","tensor(5.3847e-11, device='cuda:0')",3.72413314141122,15.28862088614991,3.8016687812805174,13.740000521850586,5.5e-05,16,1787.664879322052,255.46527552604675,6109544448.0,96,4105.703125,485072.125
6,4.203056840186424,"tensor(10.7887, device='cuda:0')","tensor(5.8665e-11, device='cuda:0')",3.6292940509029585,17.38193608431622,3.709949652481079,15.780000880432128,6.4e-05,16,2042.1386620998383,254.15565252304077,7124459520.0,112,4106.5732421875,485138.75
7,4.159790111771712,"tensor(10.7887, device='cuda:0')","tensor(6.4730e-11, device='cuda:0')",3.5599857394823196,18.202054754123406,3.641619605255127,16.6800008895874,7.3e-05,16,2297.925288915634,255.5448808670044,8139374592.0,128,4107.6083984375,485224.09375
8,4.133553588643987,"tensor(12.9092, device='cuda:0')","tensor(6.9069e-11, device='cuda:0')",3.470734412106557,19.942537354621653,3.5580207458496096,17.68000104370117,8.2e-05,16,2558.2259039878845,259.9796817302704,9154289664.0,144,4108.73388671875,485317.71875
9,4.115315647835427,"tensor(11.4583, device='cuda:0')","tensor(7.3986e-11, device='cuda:0')",3.4349866018176427,21.149429889478387,3.519481589126587,19.02000114746094,9.1e-05,16,2815.7155315876007,256.9338843822479,10169204736.0,160,4109.79150390625,485407.96875
10,4.074473147696637,"tensor(11.9792, device='cuda:0')","tensor(7.8471e-11, device='cuda:0')",3.346212629069779,22.308962400116762,3.4446624298095703,20.180000804138185,9.989038226169209e-05,16,3070.1934008598328,254.23699927330017,11184119808.0,176,4110.970703125,485514.1875
11,4.049826074153819,"tensor(14.2485, device='cuda:0')","tensor(7.6580e-11, device='cuda:0')",3.318989726570801,23.25221713410214,3.42140998878479,20.960000827789308,9.986737385021142e-05,16,3324.9098811149597,254.41009140014648,12199034880.0,192,4112.0810546875,485614.21875
12,4.008003833446097,"tensor(15.3646, device='cuda:0')","tensor(7.3766e-11, device='cuda:0')",3.23724429915217,24.554619105135902,3.3374288497924804,22.060000784301756,9.98421786662277e-05,16,3579.3218376636505,254.18182277679443,13213949952.0,208,4113.17333984375,485709.03125
13,3.975448691253121,"tensor(16.2574, device='cuda:0')","tensor(7.3018e-11, device='cuda:0')",3.2385850640859486,25.073211888706382,3.346310313796997,22.240001211547852,9.981479793771867e-05,16,3834.697475194931,255.1466543674469,14228865024.0,224,4114.24755859375,485805.96875
14,3.946844866089787,"tensor(14.9554, device='cuda:0')","tensor(inf, device='cuda:0')",3.1084010040306778,26.713449130867403,3.2330734714508056,23.500001193237306,9.97852329991824e-05,16,4090.454734325409,255.50706839561462,15243780096.0,240,4115.32861328125,485901.0625
15,3.9513470636191945,"tensor(18.5640, device='cuda:0')","tensor(6.8181e-11, device='cuda:0')",3.0896292859550125,27.846933503106488,3.2122192111968992,24.780001135253908,9.97534852915723e-05,16,4346.814649343491,256.11515402793884,16258695168.0,256,4116.22265625,485979.21875
16,3.9515049389913575,"tensor(16.8155, device='cuda:0')","tensor(6.6349e-11, device='cuda:0')",3.0651092655968917,28.44840646947669,3.187606943511963,25.120001181030272,9.971955636222684e-05,16,4600.703151941299,253.62285780906677,17273610240.0,272,4116.98193359375,486042.0625
17,3.909052067614616,"tensor(15.9970, device='cuda:0')","tensor(6.5908e-11, device='cuda:0')",3.0093344976059493,29.382978525522997,3.148390753173828,26.260001083374025,9.968344786479416e-05,16,4854.2693412303925,253.32440042495728,18288525312.0,288,4117.86865234375,486116.25
18,3.9043038745298455,"tensor(19.3452, device='cuda:0')","tensor(6.3991e-11, device='cuda:0')",2.968577179595488,30.173891785585383,3.1069341327667237,26.420000994873046,9.964516155915151e-05,16,5106.663686513901,252.14000749588013,19303440384.0,304,4118.62109375,486180.71875
19,3.867277297567814,"tensor(23.6235, device='cuda:0')","tensor(6.4172e-11, device='cuda:0')",2.9507448187543526,30.6206550977088,3.0914241134643556,27.280001260375975,9.960469931131939e-05,16,5359.6632199287415,252.7087697982788,20318355456.0,320,4119.38720703125,486249.53125
20,3.8541244724963573,"tensor(22.2098, device='cuda:0')","tensor(6.2288e-11, device='cuda:0')",2.9163367001702785,31.377626982694935,3.0592496410369874,27.300001541137696,9.956206309337068e-05,16,5612.520807027817,252.60220503807068,21333270528.0,336,4120.15869140625,486315.6875
21,3.8461366858042725,"tensor(19.9405, device='cuda:0')","tensor(6.1030e-11, device='cuda:0')",2.854536330366162,32.721074389314595,3.005679090118408,29.080001135253905,9.951725498333448e-05,16,5865.112497329712,252.33985233306885,22348185600.0,352,4120.82568359375,486372.5625
22,3.8080057624384023,"tensor(17.1131, device='cuda:0')","tensor(inf, device='cuda:0')",2.8457894570131796,33.455155568918954,2.9883422443389893,29.20000125427246,9.947027716509488e-05,16,6125.11477637291,259.7543659210205,23363100672.0,368,4121.61181640625,486439.53125
23,3.8296074114792735,"tensor(21.5774, device='cuda:0')","tensor(5.8914e-11, device='cuda:0')",2.802456730279964,34.03926296955433,2.951719541168213,30.260001889038087,9.942113192828447e-05,16,6378.11442232132,252.61983561515808,24378015744.0,384,4122.2333984375,486489.125
24,3.793824591535203,"tensor(23.7723, device='cuda:0')","tensor(5.8459e-11, device='cuda:0')",2.751313406992279,34.68967466511924,2.9106448787689208,30.42000132446289,9.936982166817273e-05,16,6630.357664346695,251.96388983726501,25392930816.0,400,4122.9130859375,486547.46875
25,3.827543869931647,"tensor(21.1682, device='cuda:0')","tensor(5.7230e-11, device='cuda:0')",2.769636446331613,34.901216421262895,2.9289239025115967,30.520001290893553,9.931634888554937e-05,16,6883.600006103516,252.982430934906,26407845888.0,416,4123.38427734375,486585.875
26,3.7541440429416952,"tensor(18.0060, device='cuda:0')","tensor(5.7128e-11, device='cuda:0')",2.727002271713753,35.11196875853928,2.895604256439209,30.580001626586913,9.926071618660238e-05,16,7137.173917770386,253.32432341575623,27422760960.0,432,4124.11181640625,486647.6875
27,3.779772555574458,"tensor(20.5357, device='cuda:0')","tensor(5.5684e-11, device='cuda:0')",2.66855060829058,36.40332002674925,2.83853670463562,31.580001538085938,9.9202926282791e-05,16,7389.960348367691,252.5413637161255,28437676032.0,448,4124.666015625,486696.21875
28,3.7439374585523675,"tensor(25.8185, device='cuda:0')","tensor(5.5868e-11, device='cuda:0')",2.656224410822535,36.64090964830837,2.8223289051055906,32.44000135803223,9.914298199071362e-05,16,7642.792566776276,252.6013844013214,29452591104.0,464,4125.25732421875,486745.15625
29,3.7595404378065824,"tensor(20.6473, device='cuda:0')","tensor(5.4200e-11, device='cuda:0')",2.6526192730414015,37.42156152589947,2.830659049987793,32.38000132446289,9.908088623197048e-05,16,7895.5165338516235,252.47732639312744,30467506176.0,480,4125.765625,486788.46875
30,3.726550504670921,"tensor(24.2560, device='cuda:0')","tensor(5.4577e-11, device='cuda:0')",2.623910668031976,38.05697580622116,2.79970368309021,33.24000141906738,9.901664203302126e-05,16,8148.165466547012,252.4008641242981,31482421248.0,496,4126.34423828125,486836.21875
31,3.667297987227744,"tensor(21.0938, device='cuda:0')","tensor(5.5813e-11, device='cuda:0')",2.5780801806174263,38.7097555146265,2.7633558113098147,34.04000146789551,9.895025252503756e-05,16,8401.389889717102,252.97707438468933,32497336320.0,512,4127.021484375,486896.78125
32,3.7027775945392905,"tensor(22.5074, device='cuda:0')","tensor(5.3711e-11, device='cuda:0')",2.5381263507919076,39.376743270611094,2.7185908012390136,33.80000184326172,9.888172094375034e-05,16,8653.481108665466,251.75358295440674,33512251392.0,528,4127.53759765625,486944.59375
33,3.69612920960636,"tensor(27.9018, device='cuda:0')","tensor(inf, device='cuda:0')",2.5567636772344375,39.58118089925627,2.745026823043823,34.9600018737793,9.881105062929222e-05,16,8905.515688180923,251.7858338356018,34527166464.0,544,4128.00439453125,486983.90625
34,3.7067171571948005,"tensor(27.8274, device='cuda:0')","tensor(5.1834e-11, device='cuda:0')",2.5044071091196334,40.27105928420163,2.6890640243530273,34.76000167541504,9.87382450260346e-05,16,9157.938160419464,252.18159294128418,35542081536.0,560,4128.4423828125,487018.3125
35,3.688429701412823,"tensor(23.5119, device='cuda:0')","tensor(5.1845e-11, device='cuda:0')",2.521386070047239,40.87647882572401,2.709344570541382,35.34000178527832,9.866330768241984e-05,16,9410.185802221298,251.99782729148865,36556996608.0,576,4128.93408203125,487061.96875
36,3.6685278009861073,"tensor(23.6979, device='cuda:0')","tensor(5.0998e-11, device='cuda:0')",2.4600084758299627,41.48900259576634,2.6590353328704834,36.20000142211914,9.858624225078841e-05,16,9662.531025648117,252.10975623130798,37571911680.0,592,4129.4326171875,487102.09375
37,3.6186918857249806,"tensor(26.8973, device='cuda:0')","tensor(5.1417e-11, device='cuda:0')",2.4481978784113605,42.2325557286618,2.642622724533081,37.000001275634766,9.850705248720069e-05,16,9915.27075791359,252.48889589309692,38586826752.0,608,4130.0400390625,487159.84375
38,3.6689793226566723,"tensor(23.0283, device='cuda:0')","tensor(5.0539e-11, device='cuda:0')",2.4391269111621257,42.07784610357725,2.639599411392212,36.56000176391601,9.842574225125402e-05,16,10167.341606616974,251.83755660057068,39601741824.0,624,4130.400390625,487193.1875
39,3.637399949926011,"tensor(25.7440, device='cuda:0')","tensor(5.0219e-11, device='cuda:0')",2.424164739715477,42.51908411107706,2.6265936847686766,38.02000180053711,9.834231550589462e-05,16,10419.644189834595,252.06427192687988,40616656896.0,640,4130.90966796875,487240.96875
40,3.672350457374086,"tensor(29.2411, device='cuda:0')","tensor(4.9091e-11, device='cuda:0')",2.3831105650288507,42.91848749571281,2.5996802364349367,37.100002032470705,9.825677631722436e-05,16,10672.039013385773,252.15448355674744,41631571968.0,656,4131.337890625,487281.71875
41,3.635282857198242,"tensor(25.2604, device='cuda:0')","tensor(4.8946e-11, device='cuda:0')",2.4012452250873904,43.05030613999281,2.6116989868164064,37.400001580810546,9.816912885430258e-05,16,10924.483117818832,252.16553783416748,42646487040.0,672,4131.90087890625,487334.34375
42,3.608538684270061,"tensor(21.8006, device='cuda:0')","tensor(4.9263e-11, device='cuda:0')",2.329188288493158,44.227993282275385,2.544285161972046,38.02000152893066,9.807937738894302e-05,16,11177.648754119873,252.91749739646912,43661402112.0,688,4132.365234375,487381.96875
