epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
10,1.92445894423276,1.3781935773849487,54.72,94.56,9.97534852915723e-05,34,127.56042337417603,127.56042075157166,2176748544.0,34,8682.671875,1023694.375
11,1.9145610312646237,1.321190820121765,56.08,95.07,9.970177445201784e-05,34,245.99957060813904,117.93463683128357,4333443072.0,68,8681.4814453125,1023421.8125
12,1.8863270522385034,1.2753104291915893,58.25,95.4,9.964516155915151e-05,34,364.02538204193115,117.61038708686829,6490137600.0,102,8680.3798828125,1023161.6875
13,1.862439398271021,1.2373504043579102,59.71,95.65,9.958365282121497e-05,34,481.96294116973877,117.5230119228363,8646832128.0,136,8679.64453125,1022951.25
14,1.8513823279040114,1.1712038480758666,61.59,96.05,9.951725498333448e-05,34,599.9675376415253,117.58340668678284,10803526656.0,170,8678.767578125,1022720.0
15,1.820040471422535,1.1625962882995606,62.09,96.06,9.94459753267812e-05,34,717.905969619751,117.45054268836975,12960221184.0,204,8678.18359375,1022526.0
16,1.8076282185567936,1.1144948650360107,63.97,96.29,9.936982166817273e-05,34,836.0177738666534,117.6175594329834,15116915712.0,238,8677.6884765625,1022342.125
17,1.7903209222568899,1.0864429847717285,66.02,96.73,9.928880235861588e-05,34,953.961724281311,117.510493516922,17273610240.0,272,8677.1552734375,1022145.625
18,1.7901222699735595,1.0282734301567078,67.75,96.71,9.9202926282791e-05,34,1071.9302883148193,117.53508734703064,19430304768.0,306,8676.5205078125,1021950.0
19,1.760880729453054,1.0101711257934571,69.09,97.27,9.911220285797748e-05,34,1189.9716794490814,117.62666893005371,21586999296.0,340,8675.9951171875,1021765.5
20,1.7500973343086,0.9899336421012879,70.15,97.44,9.901664203302126e-05,34,1308.2379269599915,117.78010106086731,23743693824.0,374,8675.5498046875,1021584.9375
21,1.743099378409978,0.9886588489532471,70.1,97.13,9.891625428724365e-05,34,1426.5962603092194,117.87285566329956,25900388352.0,408,8674.869140625,1021373.25
22,1.7285499733022478,0.9115685297012329,71.22,97.63,9.881105062929222e-05,34,1545.0481872558594,118.03869128227234,28057082880.0,442,8674.302734375,1021171.3125
23,1.7139789465905457,0.9169997108459472,71.3,97.76,9.870104259593363e-05,34,1664.9485437870026,119.49495816230774,30213777408.0,476,8673.671875,1020968.5625
24,1.701516020771178,0.923799223613739,72.82,97.93,9.858624225078841e-05,34,1784.4150564670563,119.05902123451233,32370471936.0,510,8673.1064453125,1020774.5
25,1.7014893725342695,0.88322527551651,72.52,97.9,9.846666218300807e-05,34,1903.1430821418762,118.22053956985474,34527166464.0,544,8672.4921875,1020578.8125
26,1.6854355677141881,0.8381730518341064,75.35,97.91,9.834231550589462e-05,34,2021.1811153888702,117.55326962471008,36683860992.0,578,8672.162109375,1020425.4375
27,1.6960513190331745,0.8529110306739807,73.61,97.97,9.821321585546244e-05,34,2139.214282512665,117.62122249603271,38840555520.0,612,8671.7236328125,1020264.875
28,1.6873533599050037,0.8588604338645935,75.14,98.07,9.807937738894302e-05,34,2257.2496349811554,117.62131977081299,40997250048.0,646,8671.25390625,1020108.25
29,1.6627787072283053,0.827881908416748,75.67,98.11,9.794081478323246e-05,34,2375.164580821991,117.47869849205017,43153944576.0,680,8670.8203125,1019950.6875
30,1.6719237536993283,0.8241314800262451,76.2,98.26,9.779754323328192e-05,34,2493.1845366954803,117.5365993976593,45310639104.0,714,8670.1904296875,1019768.1875
31,1.652245871083532,0.7948395170211792,76.98,98.3,9.764957845043137e-05,34,2610.638939857483,116.9715301990509,47467333632.0,748,8669.71875,1019594.4375
32,1.6614430726108722,0.8009051966667176,77.06,98.51,9.749693666068666e-05,34,2727.9902272224426,116.87285327911377,49624028160.0,782,8669.1748046875,1019422.5
33,1.6467266133133793,0.7717397156715393,77.86,98.56,9.733963460294015e-05,34,2844.7899968624115,116.38461971282959,51780722688.0,816,8668.638671875,1019257.6875
34,1.6310390001985695,0.8084420686721802,76.38,98.05,9.717768952713513e-05,34,2960.6202681064606,115.42753839492798,53937417216.0,850,8668.0263671875,1019082.875
